ramSize,newfinal,EACLOCK,WATT,LIRS,ARC,2Q,LRU-2,Hyperbolic,LeanEvict,Clock Sweep,lru,CLOCK,Random
100,65.2126,62.9711,67.3418,66.1290,64.1087,65.1839,65.6876,72.9741,76.2984,74.3184,75.1634,76.2558,78.6430
200,57.9876,55.9102,60.1500,59.4869,57.5001,58.5908,59.0369,65.6701,69.0806,66.9702,67.8834,68.9767,71.8234
300,53.9020,51.5300,55.6128,55.3229,53.4616,54.4929,54.8632,61.0189,64.5171,62.2849,63.2830,64.3724,67.3795
400,50.9795,48.2625,52.2806,52.2604,50.5261,51.4904,51.8139,57.5714,61.0104,58.7610,59.8388,60.8973,63.9698
500,48.6088,45.7261,49.6199,49.8172,48.1701,49.0731,49.3791,54.8077,58.2211,55.9054,57.0697,58.1313,61.1854
600,46.4351,43.5738,47.4490,47.7514,46.2245,47.0634,47.2984,52.4526,55.8076,53.4939,54.6684,55.7447,58.8155
700,44.6557,41.7189,45.5110,45.9390,44.5482,45.3067,45.5057,50.3530,53.7495,51.3743,52.5291,53.6569,56.7132
800,42.9730,40.0747,43.8692,44.3314,43.0669,43.7955,43.9090,48.5010,51.8243,49.4988,50.6390,51.7905,54.8838
900,41.4550,38.6747,42.3687,42.8899,41.7329,42.4178,42.4538,46.8060,50.1276,47.7957,48.9350,50.0974,53.2142
1000,40.0093,37.3542,41.0047,41.5743,40.5255,41.1559,41.1308,45.2541,48.5788,46.2450,47.3718,48.5127,51.6391
2000,30.7405,28.1743,31.3064,32.0137,32.0271,32.1532,31.6365,34.0703,37.2096,34.9976,36.0420,37.0795,40.3293
3000,22.9268,22.3952,24.9532,25.6081,26.6007,26.1302,25.3136,26.6632,29.5197,27.4297,28.4363,29.3065,32.4763
4000,18.0449,18.0449,20.0346,20.5823,21.3920,21.3855,20.3418,21.0128,23.4885,21.6356,22.5541,23.3002,26.2879
5000,14.4164,14.4164,15.9421,16.3847,17.6180,17.3465,16.1668,16.4358,18.4556,16.8642,17.6726,18.2090,20.9520
6000,11.2254,11.2191,12.2958,12.6976,13.4560,13.5854,12.5325,12.5286,14.1102,12.8029,13.4859,13.9069,16.2336
7000,8.6085,8.2972,9.1273,9.3487,9.7890,10.2670,9.2289,9.1690,10.2458,9.2554,9.8104,10.0660,11.9510
8000,5.7977,5.6247,6.1913,6.3142,6.5352,7.1343,6.2456,6.1402,6.7884,6.1805,6.5434,6.7106,7.9814
9000,3.1931,3.1601,3.4962,3.5551,3.5902,4.2590,3.5241,3.4015,3.6777,3.4050,3.5905,3.6383,4.3504
10000,0.9561,0.9561,0.9551,0.9582,0.9862,1.6968,0.9580,0.9549,0.9568,0.9573,0.9918,0.9570,0.9553
11000,0.9525,0.9525,0.9525,0.9525,0.9525,1.6522,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525
