ramSize,newfinal,newfinal_fwa,WATT,LIRS,ARC,2Q,LRU-2,Hyperbolic,LeanEvict,Clock Sweep,lru,CLOCK,Random
100,62.7225,62.6775,65.4573,64.3349,62.3534,63.4741,63.8790,71.4939,75.0430,72.9482,73.8311,74.9891,77.4755
200,54.0101,53.9179,57.9042,57.3257,55.4438,56.5726,56.8642,63.6965,67.3082,65.1531,66.0753,67.2661,70.1230
300,49.2305,49.0531,53.2546,52.9335,51.2440,52.3057,52.4653,58.6973,62.4028,60.1563,61.1268,62.3324,65.4217
400,45.7505,45.6561,49.8684,49.7132,48.1666,49.1681,49.2715,54.9618,58.6946,56.4000,57.3957,58.5941,61.8364
500,43.0978,43.0185,47.1393,47.1524,45.7001,46.6369,46.7173,51.9893,55.7017,53.3784,54.3869,55.5921,58.9019
600,40.9166,40.8297,44.8725,44.9827,43.6471,44.5239,44.5371,49.4292,53.1683,50.8200,51.8449,53.0244,56.4718
700,39.1265,38.9868,42.9010,43.1109,41.9058,42.6922,42.6761,47.2380,50.9272,48.5986,49.6235,50.8429,54.1857
800,37.3372,37.3049,41.1693,41.4536,40.3740,41.1102,41.0202,45.3022,49.0449,46.6411,47.6749,48.8741,52.3243
900,35.9119,35.8502,39.6167,39.9638,38.9678,39.6690,39.5300,43.5893,47.2383,44.8846,45.9120,47.1037,50.5387
1000,34.5633,34.5175,38.2165,38.5984,37.7060,38.3580,38.1685,42.0019,45.6198,43.2714,44.3045,45.4824,48.9555
2000,25.4041,25.3947,28.3672,28.9314,29.0927,29.2291,28.5730,30.8792,34.1557,31.9151,32.9349,33.9581,37.3792
3000,19.8222,19.8509,22.1429,22.6789,23.7373,23.3767,22.3861,23.7378,26.5686,24.5331,25.4912,26.4026,29.5755
4000,15.7360,15.7688,17.4615,17.9380,18.7477,18.8853,17.6873,18.4152,20.7764,18.9900,19.8853,20.6187,23.6161
5000,12.3742,12.4062,13.6605,14.0135,15.2742,15.0541,13.8068,14.1556,16.1130,14.5586,15.3438,15.8934,18.5994
6000,9.8707,9.8789,10.4053,10.6584,11.4586,11.7094,10.5050,10.6293,12.0867,10.8688,11.5026,11.9221,14.2973
7000,7.2349,7.2457,7.6249,7.7180,8.1979,8.7746,7.6185,7.6256,8.6331,7.7456,8.2213,8.5227,10.3837
8000,4.8467,4.8445,5.1202,5.1245,5.3724,6.0724,5.0681,5.0354,5.6476,5.0746,5.3914,5.5370,6.9427
9000,2.7301,2.7309,2.9480,2.8470,2.9220,3.6507,2.8190,2.8021,3.0687,2.7783,2.9263,3.0063,3.7445
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.7736,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
