ramSize,newfinal,WATT,LIRS,ARC,2Q,LRU-2,Hyperbolic,LeanEvict,Clock Sweep,lru,CLOCK,Random
100,62.6947,65.5536,64.3662,62.4112,63.5244,63.8935,71.5613,74.9576,72.9899,73.7637,74.9238,77.4083
200,54.1957,58.0320,57.3324,55.4422,56.5435,56.8392,63.7802,67.2647,65.2322,65.9916,67.1889,70.1268
300,49.6085,53.3033,52.8928,51.2934,52.3443,52.4353,58.9325,62.3835,60.3178,61.1185,62.3078,65.3884
400,46.2749,49.9017,49.7040,48.2247,49.2172,49.2718,55.2166,58.6725,56.5951,57.3688,58.5543,61.7971
500,43.6718,47.1706,47.1794,45.7565,46.7149,46.7269,52.2580,55.6939,53.5939,54.3570,55.5647,58.8640
600,41.5334,44.9501,45.0227,43.7127,44.6172,44.5661,49.7130,53.1397,51.0606,51.8203,52.9728,56.4259
700,39.6737,42.9714,43.1476,41.9764,42.7641,42.7174,47.5140,50.9825,48.8356,49.6101,50.8281,54.3061
800,38.0132,41.2515,41.5105,40.4495,41.1606,41.0603,45.6052,48.9929,46.8755,47.6779,48.8877,52.3363
900,36.5617,39.7280,40.0179,39.0339,39.7221,39.5723,43.9056,47.2324,45.1400,45.9152,47.1084,50.5182
1000,35.2530,38.3972,38.6650,37.7868,38.4202,38.2081,42.3378,45.6044,43.5521,44.3152,45.5111,48.9942
2000,26.2831,28.7173,29.0372,29.1955,29.3704,28.6807,31.3175,34.1567,32.2950,32.9800,34.0110,37.3917
3000,20.6708,22.6364,22.8194,23.8152,23.5183,22.5485,24.2157,26.6415,24.9359,25.5375,26.4372,29.7142
4000,16.6965,17.9343,18.1322,18.8438,19.0304,17.8496,18.8682,20.9031,19.4049,19.9354,20.6663,23.7131
5000,13.2465,14.1570,14.1816,15.3354,15.2000,14.0002,14.6035,16.1571,14.9461,15.4055,15.9310,18.6938
6000,10.3855,10.8619,10.8387,11.5435,11.8433,10.6753,11.0061,12.1908,11.2090,11.5875,11.9994,14.3432
7000,7.6624,7.9895,7.8791,8.2802,8.9120,7.7849,7.9436,8.7499,8.0449,8.3038,8.6087,10.4970
8000,5.2217,5.4200,5.2461,5.4519,6.1751,5.1960,5.2642,5.6933,5.2992,5.4710,5.5990,6.9504
9000,3.0412,3.1227,2.9000,2.9762,3.7700,2.8886,2.9498,3.0892,2.9258,2.9804,3.0528,3.7402
10000,1.0015,1.0012,1.0009,1.0014,1.7745,1.0014,1.0012,1.0011,1.0013,1.0014,1.0011,1.0019
11000,1.0001,1.0001,1.0001,1.0001,1.7329,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001
