ramSize,newfinal,newfinal_fwa,WATT,LIRS,ARC,2Q,LRU-2,Hyperbolic,LeanEvict,Clock Sweep,lru,CLOCK,Random
100,73178,72474,72683,112422,74148,71736,77520,72048,76502,72313,74810,75533,78427
700,42172,41908,43122,50178,47400,50498,48192,47558,55549,48288,54085,55804,58544
800,40493,40496,41637,48603,45217,49005,46361,45735,53460,46559,51843,53685,56818
900,39058,38921,40309,47225,43543,47666,44896,44234,51434,45050,49559,51699,55234
1000,37608,37500,38869,46077,42002,46439,43708,42850,49656,43683,47720,49833,53439
2000,30770,30739,29686,38403,31701,38401,34801,33115,37317,33783,35542,36964,42582
3000,24908,24488,24083,32880,25961,33308,28817,26547,29917,26899,28019,29182,35329
4000,20935,20549,20290,28602,22660,29206,24507,22307,24983,22415,23664,24544,30427
5000,18055,17755,17972,25457,20075,26122,21219,19289,21531,19386,20781,21628,26410
6000,15988,15860,16322,22897,17870,24211,18603,17061,19314,17090,18647,19304,23368
7000,14594,14502,15185,20858,16033,22808,16656,15480,17535,15469,16885,17627,21026
8000,13656,13595,14348,19145,14697,21759,15080,14295,16026,14278,15438,16114,19016
9000,12950,12969,13638,17618,13718,20883,13821,13474,14931,13439,14393,14961,17342
10000,12494,12496,13040,16346,12977,20187,12950,12887,14095,12809,13565,14113,15937
11000,12219,12188,12583,15322,12479,19707,12393,12424,13303,12393,12889,13440,14716
12000,12037,12026,12287,14467,12131,19365,12094,12144,12717,12130,12410,12880,13798
13000,11926,11926,12037,13599,11940,19039,11931,11985,12274,11948,12083,12507,13021
14000,11826,11826,11885,12852,11826,18762,11826,11840,11986,11826,11880,12194,12358
15000,11765,11765,11764,12191,11765,18516,11765,11773,11802,11765,11775,11924,11930
16000,11741,11741,11741,11784,11741,18297,11741,11740,11742,11741,11741,11742,11744
17000,11740,11740,11740,11740,11740,18094,11740,11740,11740,11740,11740,11740,11740
