ramSize,newfinal,newfinal_fwa,WATT,LIRS,ARC,2Q,LRU-2,Hyperbolic,LeanEvict,Clock Sweep,lru,CLOCK,Random
100,64828,64627,68708,73422,67656,72755,71746,79262,88266,82054,85601,88101,93241
200,54997,54780,61328,66614,61339,65704,65141,72225,81701,74989,78829,81434,88918
300,50122,49706,57022,62264,57633,61363,61074,67699,77528,70527,74610,77157,85607
400,46566,46346,53903,58984,55038,58170,58115,64263,74260,67155,71355,74066,83032
500,44113,43915,51295,56293,52933,55628,55781,61499,71759,64327,68654,71394,80795
600,42190,41918,49220,54121,51156,53505,53781,59121,69569,61951,66327,69157,79245
700,40647,40274,47427,52222,49777,51747,52098,57084,67577,59986,64372,67206,77281
800,38861,38701,45896,50456,48554,50204,50571,55282,65849,58107,62618,65448,75922
900,37606,37418,44519,48930,47481,48756,49213,53670,64323,56530,60991,63791,74558
1000,36382,36177,43197,47607,46482,47407,47973,52245,62827,54989,59532,62380,73217
2000,28134,27928,34570,37950,40106,38214,39312,41959,52630,44438,49235,52102,63544
3000,23334,23202,29074,31711,36344,32324,33645,35184,45463,37446,42194,44917,56665
4000,20089,19915,25043,26878,33571,27768,29173,30005,39639,31926,36595,39202,50843
5000,17390,17233,21823,22854,31528,23803,25430,25698,34598,27195,31679,34011,45634
6000,16913,15380,18920,19411,27092,20359,21990,21986,29768,23135,27198,29240,40519
7000,14811,13351,16452,16335,22820,17399,18779,18699,24968,19385,22899,24635,34652
8000,12567,11722,14097,13659,18444,14621,15672,15577,20119,15847,18512,19872,28496
9000,10628,10405,11929,11358,13940,12072,12494,12576,14998,12466,13997,14774,20388
10000,9338,9338,9338,9338,9338,10080,9338,9338,9338,9338,9338,9338,9338
