algo,ramSize,elements,reads,writes
2Q,100,0,307356,11740
2Q,700,0,176496,11740
2Q,800,0,166892,11740
2Q,900,0,158369,11740
2Q,1000,0,150250,11740
2Q,2000,0,95934,11740
2Q,3000,0,65547,11740
2Q,4000,0,51594,11740
2Q,5000,0,43728,11740
2Q,6000,0,38005,11740
2Q,7000,0,33371,11740
2Q,8000,0,29908,11740
2Q,9000,0,26737,11740
2Q,10000,0,24555,11740
2Q,11000,0,22369,11740
2Q,12000,0,21166,11740
2Q,13000,0,19779,11740
2Q,14000,0,18395,11740
2Q,15000,0,17240,11740
2Q,16000,0,16228,11740
2Q,17000,0,16128,11740
ARC,100,0,290020,74148
ARC,700,0,140163,47400
ARC,800,0,131336,45217
ARC,900,0,123948,43543
ARC,1000,0,117080,42002
ARC,2000,0,71304,31701
ARC,3000,0,49778,25961
ARC,4000,0,41053,22660
ARC,5000,0,34588,20075
ARC,6000,0,29687,17870
ARC,7000,0,25735,16033
ARC,8000,0,22753,14697
ARC,9000,0,20666,13718
ARC,10000,0,19097,12977
ARC,11000,0,18082,12479
ARC,12000,0,17316,12131
ARC,13000,0,16833,11940
ARC,14000,0,16449,11826
ARC,15000,0,16218,11765
ARC,16000,0,16129,11741
ARC,17000,0,16128,11740
CFLRU_0,100,0,285763,74810
CFLRU_0,700,0,153293,54085
CFLRU_0,800,0,143881,51843
CFLRU_0,900,0,135379,49559
CFLRU_0,1000,0,128009,47720
CFLRU_0,2000,0,79198,35542
CFLRU_0,3000,0,52200,28019
CFLRU_0,4000,0,40145,23664
CFLRU_0,5000,0,33561,20781
CFLRU_0,6000,0,29063,18647
CFLRU_0,7000,0,25644,16885
CFLRU_0,8000,0,22909,15438
CFLRU_0,9000,0,20970,14393
CFLRU_0,10000,0,19466,13565
CFLRU_0,11000,0,18277,12889
CFLRU_0,12000,0,17400,12410
CFLRU_0,13000,0,16807,12083
CFLRU_0,14000,0,16420,11880
CFLRU_0,15000,0,16208,11775
CFLRU_0,16000,0,16129,11741
CFLRU_0,17000,0,16128,11740
CLOCK,100,0,289236,75533
CLOCK,700,0,158592,55804
CLOCK,800,0,148453,53685
CLOCK,900,0,140212,51699
CLOCK,1000,0,132621,49833
CLOCK,2000,0,81864,36964
CLOCK,3000,0,54180,29182
CLOCK,4000,0,41437,24544
CLOCK,5000,0,34828,21628
CLOCK,6000,0,30203,19304
CLOCK,7000,0,26834,17627
CLOCK,8000,0,24091,16114
CLOCK,9000,0,22002,14961
CLOCK,10000,0,20385,14113
CLOCK,11000,0,19137,13440
CLOCK,12000,0,18130,12880
CLOCK,13000,0,17490,12507
CLOCK,14000,0,16934,12194
CLOCK,15000,0,16473,11924
CLOCK,16000,0,16147,11742
CLOCK,17000,0,16128,11740
Clock Sweep,100,0,280095,72313
Clock Sweep,700,0,147229,48288
Clock Sweep,800,0,139508,46559
Clock Sweep,900,0,132219,45050
Clock Sweep,1000,0,125553,43683
Clock Sweep,2000,0,80287,33783
Clock Sweep,3000,0,55192,26899
Clock Sweep,4000,0,43105,22415
Clock Sweep,5000,0,35863,19386
Clock Sweep,6000,0,30578,17090
Clock Sweep,7000,0,26643,15469
Clock Sweep,8000,0,23595,14278
Clock Sweep,9000,0,21386,13439
Clock Sweep,10000,0,19682,12809
Clock Sweep,11000,0,18423,12393
Clock Sweep,12000,0,17481,12130
Clock Sweep,13000,0,16858,11948
Clock Sweep,14000,0,16449,11826
Clock Sweep,15000,0,16218,11765
Clock Sweep,16000,0,16129,11741
Clock Sweep,17000,0,16128,11740
EACLOCK,100,0,306545,69702
EACLOCK,700,0,138404,42160
