ramSize,amclock,amclock1,amclock2,amclock3,amclock4,amclock5,amclock6,amclock7,amclock8,amclock9,amclock10,amclock11,arc,lru_k2_z-1,lru,clock,clocksweep,amclock_Final,WATT,hyperbolic20
100,30.2250,29.3335,28.4726,28.2513,28.3116,28.1405,28.4088,28.3642,28.2002,27.9885,29.5136,28.7693,29.0020,35.1005,28.5763,28.9236,28.0095,30.7209,29.1087,27.7583
700,13.9524,14.1341,13.6244,13.7186,13.6480,14.0865,13.7509,13.8955,13.6154,13.7654,13.3121,13.8572,14.0163,16.4232,15.3293,15.8592,14.7229,14.0043,13.5253,14.5850
800,13.0296,13.4757,12.8823,12.8864,13.0383,13.1846,12.9448,13.0024,12.8197,12.8316,12.6495,13.0112,13.1336,15.3975,14.3881,14.8453,13.9508,13.1969,12.8210,13.8216
900,12.4946,12.5671,12.1436,12.3057,12.4582,12.3609,12.2522,12.1825,12.1667,12.2566,12.1596,12.3306,12.3948,14.5371,13.5379,14.0212,13.2219,12.4943,12.1577,13.0853
1000,11.9333,12.0423,11.5650,11.8050,11.9153,11.6913,11.7114,11.5722,11.4667,11.5993,11.4914,11.5673,11.7080,13.7294,12.8009,13.2621,12.5553,11.9035,11.5407,12.4144
2000,7.7162,7.6686,7.7162,7.7162,7.7097,6.9921,7.7162,6.9957,7.7162,7.8599,7.8599,6.9561,7.1304,8.4845,7.9198,8.1864,8.0287,7.7915,7.8366,7.9169
3000,5.6855,5.6852,5.6855,5.6855,5.6467,4.9647,5.6855,5.0424,5.6855,5.6855,5.6855,4.9882,4.9778,6.2068,5.2200,5.4180,5.5192,5.6351,5.8099,5.5424
4000,4.3508,4.3165,4.3508,4.3508,4.3352,4.0118,4.3508,4.0454,4.3508,4.3506,4.3506,4.0011,4.1053,5.0057,4.0145,4.1437,4.3105,4.3625,4.4892,4.3674
5000,3.5758,3.5450,3.5758,3.5758,3.5625,3.3654,3.5758,3.4207,3.5758,3.5758,3.5758,3.3681,3.4588,4.1414,3.3561,3.4828,3.5863,3.6069,3.6474,3.6305
6000,3.0398,3.0236,3.0398,3.0398,3.0409,2.9082,3.0398,2.9438,3.0398,3.0398,3.0398,2.8982,2.9687,3.4760,2.9063,3.0203,3.0578,3.0611,3.0714,3.0887
7000,2.6277,2.6356,2.6277,2.6277,2.6331,2.5760,2.6277,2.5960,2.6277,2.6280,2.6280,2.5678,2.5735,2.9876,2.5644,2.6834,2.6643,2.6363,2.6438,2.6941
8000,2.3306,2.3354,2.3306,2.3306,2.3270,2.3038,2.3306,2.3306,2.3306,2.3306,2.3306,2.3134,2.2753,2.6004,2.2909,2.4091,2.3595,2.3306,2.3488,2.3914
9000,2.1067,2.1105,2.1067,2.1067,2.1092,2.1048,2.1067,2.1067,2.1067,2.1067,2.1067,2.1001,2.0666,2.3005,2.0970,2.2002,2.1386,2.1067,2.1264,2.1618
10000,1.9463,1.9513,1.9463,1.9463,1.9506,1.9510,1.9463,1.9463,1.9463,1.9463,1.9463,1.9501,1.9097,2.0689,1.9466,2.0385,1.9682,1.9463,1.9585,1.9831
11000,1.8290,1.8345,1.8290,1.8290,1.8287,1.8308,1.8290,1.8290,1.8290,1.8290,1.8290,1.8310,1.8082,1.9052,1.8277,1.9137,1.8423,1.8290,1.8485,1.8534
12000,1.7441,1.7439,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7316,1.7828,1.7400,1.8130,1.7481,1.7441,1.7626,1.7588
13000,1.6863,1.6850,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6833,1.6933,1.6807,1.7490,1.6858,1.6863,1.6992,1.6948
14000,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6420,1.6934,1.6449,1.6449,1.6524,1.6480
15000,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6208,1.6473,1.6218,1.6218,1.6228,1.6230
16000,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6147,1.6129,1.6129,1.6129,1.6129
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
