ramSize,arc,lru_k2_z-1,clock,clocksweep,amclock,amclock1,amclock2,amclock3,amclock4,WATT
100,58.7137,0.0000,59.0852,58.8406,65.3658,62.1735,59.7826,59.9183,59.9183,0.0000
900,50.3632,0.0000,50.7947,50.6651,52.4425,51.5950,51.7810,51.7317,51.7317,0.0000
1000,50.1604,0.0000,50.6003,50.4606,52.1408,51.2975,51.4898,51.5741,51.5741,0.0000
2000,49.0220,0.0000,49.4573,49.3323,50.5157,49.9154,50.2176,50.3086,50.3086,0.0000
3000,48.3525,0.0000,48.7991,48.6547,49.5937,49.1443,49.6844,49.6703,49.6703,0.0000
4000,47.8229,0.0000,48.3381,48.1340,48.9648,48.5139,49.0801,48.9895,48.9895,0.0000
5000,47.3552,0.0000,47.9427,47.7232,48.4798,48.0878,48.5054,48.4992,48.4992,0.0000
6000,47.0698,0.0000,47.6115,47.3916,47.9904,47.5762,48.1151,48.0471,48.0471,0.0000
7000,46.9307,0.0000,47.1983,47.0615,47.3664,47.2061,47.7119,47.6261,47.6261,0.0000
8000,46.6588,0.0000,46.9977,46.8369,47.0508,46.8783,47.4800,47.3783,47.3783,0.0000
9000,46.3088,0.0000,46.7867,46.6290,46.6899,46.7021,47.1760,47.0664,47.0664,0.0000
10000,46.2239,0.0000,46.6077,46.4504,46.5179,46.4282,46.8545,46.6428,46.6428,0.0000
20000,44.7958,0.0000,45.0152,44.7907,44.7872,44.6741,44.7066,44.6922,44.6922,0.0000
30000,43.2698,0.0000,43.7828,43.4876,43.5320,43.3815,43.3869,43.3376,43.3376,0.0000
40000,41.9060,0.0000,42.5218,42.4347,42.3204,42.1649,42.1581,42.1964,42.1964,0.0000
50000,40.6408,0.0000,41.6173,41.3179,41.2269,41.2064,40.9721,41.1608,41.1608,0.0000
60000,39.6161,0.0000,40.0865,40.3794,39.9635,40.0665,39.9635,39.9635,39.9635,0.0000
70000,38.7481,0.0000,38.5901,39.2970,39.0530,39.0121,39.0530,39.0530,39.0530,0.0000
80000,37.9611,0.0000,37.4336,38.1179,38.2835,38.1893,38.2835,38.2835,38.2835,0.0000
90000,37.1392,0.0000,36.5358,37.0009,37.5379,37.4966,37.5379,37.5379,37.5379,0.0000
100000,36.4809,0.0000,35.7884,36.3156,36.8157,36.7763,36.8157,36.8157,36.8157,0.0000
