ramSize,arc,lru_k2_z-1,lru,clock,clocksweep,amclock,amclock1,amclock2,amclock3,amclock4,amclock5,amclock6,amclock7,amclock8,amclock9,WATT,hyperbolic20
100,10.2204,13.0663,10.1720,10.4802,13.1913,20.1497,17.3172,12.4500,14.2297,14.9045,10.5924,13.9929,11.3807,12.0490,12.1345,12.3543,13.2460
200,7.7537,10.2740,7.7489,7.9019,9.6694,14.4268,12.5878,10.0060,10.9994,11.5207,8.1199,10.3823,8.5203,9.2878,9.3918,8.9632,9.7267
300,6.8527,9.1943,6.8836,7.0170,8.2748,9.9890,10.1555,9.2380,9.6515,10.0866,7.2728,9.0525,7.5506,8.3505,8.3434,7.7270,8.3373
400,6.3186,8.3627,6.3377,6.4600,7.5618,9.0680,8.1933,8.6146,8.5605,8.9237,6.6556,8.2656,6.9030,7.9530,7.9189,6.8899,7.5696
500,5.8029,7.8247,5.8852,6.0124,7.0759,8.2443,7.8929,7.9511,8.0639,8.7280,6.2323,7.7037,6.4964,7.3023,7.0633,6.2897,7.0913
600,5.5080,7.3766,5.5593,5.6753,6.7063,8.2467,7.3180,8.0525,7.4440,7.6214,5.9055,7.3741,6.0810,6.9438,6.8034,5.8380,6.7146
700,5.2336,6.9822,5.2729,5.3768,6.3936,7.3895,7.1649,7.5989,7.5057,7.4091,5.6139,6.8303,5.8602,6.6322,6.5428,5.4327,6.3909
800,4.9331,6.6584,4.9902,5.1390,6.1216,7.3369,6.9604,6.8334,6.8597,7.1274,5.3509,6.5617,5.5814,6.5431,6.5141,5.1468,6.1282
900,4.7658,6.3728,4.8225,4.9204,5.8850,6.4562,6.2148,6.4115,7.1355,6.8237,5.1367,6.2690,5.3709,6.0558,6.1852,4.8971,5.8884
1000,4.6476,6.1022,4.6693,4.7657,5.6568,6.0579,5.9600,6.0824,6.3036,6.5960,4.9378,5.9841,5.0769,6.0009,5.7580,4.6733,5.6627
2000,3.5967,4.2415,3.5172,3.5799,4.0123,4.1297,4.0730,4.2093,4.1309,4.1407,3.6144,4.1168,3.6964,3.9289,4.1273,3.3599,4.0133
3000,2.6834,3.0626,2.7233,2.7893,2.9435,2.9781,2.9655,2.9813,2.9433,2.9443,2.7905,2.9071,2.8056,2.8487,2.8634,2.6600,2.9472
4000,2.0343,2.1948,2.0388,2.0207,2.0764,2.0416,2.0522,2.0416,2.0416,2.0587,2.0559,2.0388,1.9748,1.9745,2.0467,2.1539,2.1592
5000,1.5013,1.5867,1.5538,1.4811,1.5348,1.5188,1.5300,1.5188,1.5188,1.4866,1.4422,1.5188,1.5180,1.5188,1.5188,1.6836,1.5338
6000,1.1290,1.1322,1.1741,1.1248,1.0464,1.0340,1.0507,1.0340,1.0340,1.0343,1.0335,1.0340,1.0340,1.0340,1.0340,1.2245,1.0745
7000,0.8485,0.8335,0.8596,0.8468,0.8378,0.8347,0.8340,0.8347,0.8347,0.8347,0.8347,0.8347,0.8347,0.8347,0.8347,0.8656,0.8111
8000,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528
