ramSize,arc,lru_k2_z-1,lru,clock,clocksweep,amclock,amclock1,amclock2,amclock3,amclock4,amclock5,amclock6,WATT,hyperbolic10
100,40.4896,50.0679,40.8236,41.6540,40.7808,48.9386,45.6497,41.2842,41.8425,42.5372,40.5530,46.6449,48.7501,41.0377
200,35.5730,46.6048,35.4675,35.5857,36.6121,43.1363,40.8694,37.3097,38.2668,39.2704,36.6499,42.0809,42.5869,36.9031
300,32.6665,43.8302,32.6835,32.7113,34.4512,40.2884,38.4475,34.9564,36.4084,37.5325,34.3290,39.9148,38.3640,34.7272
400,30.3226,41.2752,30.3221,30.4057,32.6346,38.2025,36.5973,33.1484,34.8077,35.9126,32.2559,37.7687,34.4719,32.8878
500,28.6772,38.7924,28.1395,28.3166,30.9517,36.4466,34.9235,31.3945,33.4204,34.5556,30.2980,36.1407,30.7703,31.2088
600,26.9970,36.4471,26.1469,26.4584,29.3623,34.6770,33.2562,29.7031,31.9483,32.8210,28.3780,34.3633,27.4514,29.6231
700,25.2523,34.1936,24.2946,24.6914,27.8315,32.9153,31.5825,28.6796,30.2596,31.5823,26.5316,32.6784,24.5671,28.0782
800,23.5651,32.1193,22.5403,23.0599,26.3792,31.0498,29.7765,26.8451,29.0203,30.1587,24.7765,30.8733,22.0569,26.6338
900,22.0653,30.1713,20.9323,21.5526,24.9414,28.9969,28.0468,25.9358,27.2701,28.4322,23.1045,28.9347,19.9484,25.1857
1000,21.0746,28.3064,19.4860,20.1878,23.5507,27.1615,26.3360,24.5267,26.0439,26.6536,21.5587,27.2132,18.2142,23.8302
2000,10.7471,15.3126,10.3929,10.9472,12.5313,13.6676,13.2779,13.6676,13.6676,13.6676,11.0695,13.6676,9.5066,13.1075
3000,6.1787,8.5215,6.1677,6.4185,6.6647,6.7756,6.6739,6.7756,6.7756,6.7756,6.2830,6.7756,5.6997,7.1071
4000,3.3733,4.2924,3.3717,3.5127,3.3598,3.3329,3.3286,3.3329,3.3329,3.3329,3.4114,3.3329,3.1034,3.6239
5000,1.3746,1.4866,1.3827,1.4520,1.2896,1.2416,1.2534,1.2416,1.2416,1.2416,1.3366,1.2416,1.3393,1.4283
6000,0.5492,0.5492,0.5492,0.5492,0.5492,0.5492,0.5492,0.5492,0.5492,0.5492,0.5492,0.5492,0.5492,0.5492
