ramSize,arc,lru_k2_z-1,clock,clocksweep,mclock1111,mclock0101,mclock0201,mclock0211,mclock0301,mclock0401,mclock0501,mclock0601,mclock0701,mclock0801,mclock01001,mclock01401,mclock01601,mclock02001,mclock02401,amclock,WATT
100,77.6124,0.0000,84.5394,83.5195,82.4440,82.4440,81.1060,81.3085,80.3361,79.9518,79.6750,79.5533,79.5079,79.4344,79.2993,78.9875,78.8914,78.7778,78.7251,79.1899,77.7082
1000,58.7253,0.0000,68.7820,67.7054,66.4815,66.4815,65.1386,65.2914,64.3753,63.8062,63.3811,63.0618,62.8259,62.6537,62.3931,62.1931,62.1731,62.1889,62.2531,62.4021,59.4269
2000,49.1417,0.0000,61.8174,60.6807,59.2223,59.2223,57.3209,57.6120,55.8858,54.8492,54.4036,54.1707,54.0543,53.9680,53.9455,53.9639,53.9986,54.0849,54.1979,53.9760,50.8707
3000,43.9483,0.0000,56.6643,55.2692,53.2537,53.2537,50.6013,51.1851,49.8907,49.2007,48.7249,48.3661,48.1834,48.0686,47.9387,47.9631,48.0011,48.1358,48.2989,48.1527,45.6010
4000,42.7480,0.0000,51.7443,50.5693,48.1065,48.1065,45.7563,46.3287,44.1528,43.4673,43.2323,43.0945,43.0480,43.0479,43.1264,43.3753,43.4956,43.7634,44.0252,43.7139,42.0252
5000,41.4029,0.0000,47.7033,45.5140,43.5286,43.5286,40.4060,41.3554,39.6319,39.3950,39.3606,39.4121,39.4453,39.5175,39.6440,39.9596,40.0874,40.3493,40.6046,40.0868,39.3351
6000,38.8438,0.0000,42.9259,41.3244,38.7300,38.7300,37.1116,37.6824,36.6290,36.5278,36.5172,36.5389,36.5912,36.5754,36.6487,36.8845,36.9975,37.2233,37.4571,37.1048,36.7482
7000,35.6654,0.0000,37.8304,36.0592,34.8826,34.8826,34.2043,34.6756,34.0164,33.8075,33.7026,33.6586,33.6878,33.7641,33.8028,33.8929,34.0344,34.2632,34.5042,33.9344,34.0979
8000,33.3773,0.0000,34.2995,32.3233,31.1166,31.1166,31.5732,31.8149,31.6758,31.4821,31.3102,31.2257,30.8758,30.9238,30.9931,31.1591,31.2687,31.4025,31.5888,31.3599,31.1317
9000,30.7395,0.0000,30.6849,29.3602,28.7189,28.7189,29.2946,29.2142,29.0791,28.8834,28.5209,28.5576,28.5037,28.5393,28.4437,28.6722,28.7563,28.8455,29.0422,28.7053,28.3186
10000,27.0887,0.0000,28.1404,26.7987,26.6239,26.6239,26.5751,26.3629,26.1926,26.3552,26.2285,25.9938,26.0146,26.0917,26.1987,26.0048,26.0755,26.1822,26.3054,26.3702,25.6609
11000,25.0909,0.0000,25.3759,24.0167,23.9729,23.9729,24.0490,23.5095,23.7523,23.6532,23.7544,23.4860,23.5099,23.4815,23.3907,23.4581,23.5377,23.6838,23.7867,23.5208,23.3495
12000,22.8009,0.0000,23.1193,21.7020,21.8145,21.8145,21.3371,21.3496,21.3599,20.8705,20.8558,20.8949,20.8781,20.8080,20.8917,20.9262,20.9589,21.0302,21.1060,20.5905,20.6828
13000,21.3287,0.0000,21.2467,19.6584,19.1996,19.1996,18.9935,18.7989,19.1070,18.7449,18.6031,18.6681,18.5631,18.5825,18.5535,18.4365,18.4382,18.4590,18.5079,18.4100,18.6180
14000,18.9488,0.0000,18.6252,17.2384,16.8372,16.8372,16.4588,16.4709,16.8187,16.5499,16.4354,16.4400,16.3206,16.1681,16.1370,16.0508,16.0226,16.0698,16.0791,15.7887,16.0759
15000,16.3150,0.0000,17.1928,15.2234,14.6070,14.6070,14.1431,14.2572,14.2739,14.0863,13.9881,13.8839,13.7257,13.8006,13.7881,13.6892,13.7003,13.6837,13.7066,13.6396,13.7928
16000,14.7560,0.0000,13.2856,12.5532,12.1215,12.1215,11.7063,12.1298,11.9518,11.6689,11.5643,11.5401,11.5158,11.4465,11.3214,11.2355,11.2043,11.1957,11.2023,11.2910,11.4540
17000,11.2886,0.0000,11.4427,10.1289,9.5920,9.5920,9.3657,9.6016,9.2129,9.0620,8.9156,8.8888,8.8173,8.7439,8.6250,8.6352,8.6251,8.6154,8.5981,8.6098,8.6111
18000,8.7685,0.0000,8.8827,7.5781,7.1362,7.1362,6.9058,6.7900,6.7412,6.6191,6.5247,6.4569,6.3776,6.3407,6.3240,6.2871,6.3044,6.2934,6.2740,6.1498,6.4101
19000,6.4525,0.0000,5.1002,4.6724,4.5413,4.5413,4.4148,4.3140,4.2668,4.1338,4.0774,4.0063,3.9273,3.9354,3.7296,3.6351,3.6096,3.5932,3.5928,3.8739,3.7120
20000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
