ramSize,arc,lru_k2_z-1,clock,clocksweep,amclock,amclock1,amclock2,amclock3,amclock4,WATT
100,77.6124,0.0000,84.5394,83.5195,79.2141,79.5979,80.9239,79.9788,79.9788,77.7082
1000,58.7253,0.0000,68.7820,67.7054,62.4412,63.2214,61.2913,61.0882,61.0882,59.4269
2000,49.1417,0.0000,61.8174,60.6807,54.1335,54.4545,53.5313,53.5018,53.5018,50.8707
3000,43.9483,0.0000,56.6643,55.2692,48.2037,48.6607,46.9432,46.4424,46.4424,45.6010
4000,42.7480,0.0000,51.7443,50.5693,43.5816,43.5692,42.7814,42.2870,42.2870,42.0252
5000,41.4029,0.0000,47.7033,45.5140,40.1008,39.7746,39.2576,39.3389,39.3389,39.3351
6000,38.8438,0.0000,42.9259,41.3244,37.0069,36.8531,37.2936,36.7841,36.7841,36.7482
7000,35.6654,0.0000,37.8304,36.0592,34.0318,33.6424,34.7498,34.3573,34.3573,34.0979
8000,33.3773,0.0000,34.2995,32.3233,31.4320,31.1052,32.6369,32.1619,32.1619,31.1317
9000,30.7395,0.0000,30.6849,29.3602,28.5053,28.4881,29.8331,29.6468,29.6468,28.3186
10000,27.0887,0.0000,28.1404,26.7987,26.3740,25.8661,27.5682,27.4980,27.4980,25.6609
11000,25.0909,0.0000,25.3759,24.0167,23.2788,23.4351,25.3715,24.6928,24.6928,23.3495
12000,22.8009,0.0000,23.1193,21.7020,20.5865,20.9784,22.3421,22.3527,22.3527,20.6828
13000,21.3287,0.0000,21.2467,19.6584,18.4381,18.6728,20.1596,19.5729,19.5729,18.6180
14000,18.9488,0.0000,18.6252,17.2384,16.0453,15.9421,17.5486,17.1141,17.1141,16.0759
15000,16.3150,0.0000,17.1928,15.2234,13.4713,13.7253,15.1324,14.8117,14.8117,13.7928
16000,14.7560,0.0000,13.2856,12.5532,11.2711,11.5516,12.8209,11.3306,11.3306,11.4540
17000,11.2886,0.0000,11.4427,10.1289,8.6527,8.9490,9.1201,8.9156,8.9156,8.6111
18000,8.7685,0.0000,8.8827,7.5781,6.3124,6.6250,6.3124,6.3124,6.3124,6.4101
19000,6.4525,0.0000,5.1002,4.6724,4.0116,4.1521,4.0116,4.0116,4.0116,3.7120
20000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
