ramSize,arc,lru_k2_z-1,lru,clock,clocksweep,amclock,amclock1,amclock2,amclock3,amclock4,amclock5,amclock6,WATT,hyperbolic10
100,77.6124,80.3114,83.8422,84.5394,83.5195,79.2141,79.5979,80.9239,79.9788,79.3903,81.3877,79.2158,77.7082,83.0555
1000,58.7253,61.8516,67.9223,68.7820,67.7054,62.4412,63.2214,61.2913,61.0882,61.9671,64.4560,62.4412,59.4269,67.2010
2000,49.1417,51.1689,60.8128,61.8174,60.6807,54.1335,54.4545,53.5313,53.5018,53.5872,55.6167,54.1335,50.8707,60.0889
3000,43.9483,45.3272,55.4038,56.6643,55.2692,48.2037,48.6607,46.9432,46.4424,47.1641,49.0943,48.2037,45.6010,54.4539
4000,42.7480,42.1902,50.3581,51.7443,50.5693,43.5816,43.5692,42.7814,42.2870,42.9076,43.2417,43.3678,42.0252,49.3022
5000,41.4029,39.4702,45.8772,47.7033,45.5140,40.1008,39.7746,39.2576,39.3389,39.4140,39.5367,39.7105,39.3351,44.3488
6000,38.8438,36.4382,41.2603,42.9259,41.3244,37.0069,36.8531,37.2936,36.7841,36.7593,37.5526,36.8730,36.7482,39.7919
7000,35.6654,33.3761,35.6433,37.8304,36.0592,34.0318,33.6424,34.7498,34.3573,33.9775,34.4809,33.7981,34.0979,35.3331
8000,33.3773,31.5173,32.3811,34.2995,32.3233,31.4320,31.1052,32.6369,32.1619,31.4266,31.5587,31.3490,31.1317,31.7928
9000,30.7395,29.1081,29.4086,30.6849,29.3602,28.5053,28.4881,29.8331,29.6468,30.0184,29.4048,29.2208,28.3186,28.8872
10000,27.0887,26.2644,27.1240,28.1404,26.7987,26.3740,25.8661,27.5682,27.4980,27.2512,27.3817,26.5805,25.6609,26.2301
11000,25.0909,23.9166,24.9868,25.3759,24.0167,23.2788,23.4351,25.3715,24.6928,24.1221,24.9996,24.0185,23.3495,23.7934
12000,22.8009,22.2874,23.0617,23.1193,21.7020,20.5865,20.9784,22.3421,22.3527,22.0240,22.4659,21.4365,20.6828,21.4903
13000,21.3287,19.6777,21.5294,21.2467,19.6584,18.4381,18.6728,20.1596,19.5729,18.9169,20.2906,19.6764,18.6180,19.2574
14000,18.9488,17.3592,19.0845,18.6252,17.2384,16.0453,15.9421,17.5486,17.1141,16.3519,17.6154,16.9202,16.0759,16.9442
15000,16.3150,14.5800,16.5104,17.1928,15.2234,13.4713,13.7253,15.1324,14.8117,14.4073,14.8882,14.7032,13.7928,14.5351
16000,14.7560,12.8125,14.8236,13.2856,12.5532,11.2711,11.5516,12.8209,11.3306,11.3306,12.5764,11.4953,11.4540,12.0252
17000,11.2886,9.9490,11.2935,11.4427,10.1289,8.6527,8.9490,9.1201,8.9156,8.9156,9.8438,9.0889,8.6111,9.3789
18000,8.7685,7.6273,8.8478,8.8827,7.5781,6.3124,6.6250,6.3124,6.3124,6.3124,7.0465,6.5709,6.4101,6.6429
19000,6.4525,4.8258,6.4096,5.1002,4.6724,4.0116,4.1521,4.0116,4.0116,4.0116,4.5738,4.0116,3.7120,3.8169
20000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
