ramSize,arc,lru_k2_z-1,lru,clock,clocksweep,amclock,amclock1,amclock2,amclock3,amclock4,amclock5,amclock6,amclock7,amclock8,WATT,hyperbolic10
100,77.6124,80.3114,83.8422,84.5394,83.5195,79.4052,79.9375,81.1128,80.6522,80.2072,81.8012,79.3821,80.7625,79.4351,77.7082,83.0555
1000,58.7253,61.8516,67.9223,68.7820,67.7054,62.7983,63.8152,62.7480,62.3650,62.9021,65.0794,62.7983,64.1029,62.7983,59.4269,67.2010
2000,49.1417,51.1689,60.8128,61.8174,60.6807,54.6049,56.3982,53.9083,54.2567,54.2426,56.6593,54.6174,55.0837,54.3190,50.8707,60.0889
3000,43.9483,45.3272,55.4038,56.6643,55.2692,48.5573,49.8310,47.8253,48.0594,47.7921,49.8757,48.7065,49.2178,48.6097,45.6010,54.4539
4000,42.7480,42.1902,50.3581,51.7443,50.5693,44.0082,45.7602,43.1780,43.2844,43.0812,45.5062,43.3573,43.9483,44.1153,42.0252,49.3022
5000,41.4029,39.4702,45.8772,47.7033,45.5140,39.9770,40.9364,39.6013,39.7475,39.3698,40.2343,39.5876,39.6729,39.4293,39.3351,44.3488
6000,38.8438,36.4382,41.2603,42.9259,41.3244,37.2914,36.7921,37.4219,37.0489,36.9003,37.7328,37.2541,37.3747,37.3294,36.7482,39.7919
7000,35.6654,33.3761,35.6433,37.8304,36.0592,34.1033,33.9359,34.8055,34.8042,34.5383,34.1552,34.3329,34.6457,34.4280,34.0979,35.3331
8000,33.3773,31.5173,32.3811,34.2995,32.3233,31.4425,32.0831,32.8565,31.9795,31.9939,31.7051,31.8791,31.6417,31.6443,31.1317,31.7928
9000,30.7395,29.1081,29.4086,30.6849,29.3602,29.0812,28.4894,29.3890,29.2830,29.2560,29.4130,29.2537,29.3451,29.2441,28.3186,28.8872
10000,27.0887,26.2644,27.1240,28.1404,26.7987,26.4231,26.2711,26.8977,27.0249,27.0217,26.8758,26.8574,27.3456,26.8745,25.6609,26.2301
11000,25.0909,23.9166,24.9868,25.3759,24.0167,23.6384,23.5782,24.4971,24.3226,24.9837,25.0608,24.1803,23.9463,24.9537,23.3495,23.7934
12000,22.8009,22.2874,23.0617,23.1193,21.7020,21.0474,21.3538,22.2809,22.0829,22.1232,22.4152,21.9406,21.9428,22.6477,20.6828,21.4903
13000,21.3287,19.6777,21.5294,21.2467,19.6584,18.5418,19.0251,19.6349,19.5768,19.2515,19.9722,19.7098,19.7375,20.4027,18.6180,19.2574
14000,18.9488,17.3592,19.0845,18.6252,17.2384,16.7110,16.8806,17.3831,16.9377,16.0220,17.4133,16.9617,16.9838,17.6920,16.0759,16.9442
15000,16.3150,14.5800,16.5104,17.1928,15.2234,14.0378,14.3572,13.9805,14.2573,14.5173,15.4997,14.2573,15.4238,14.8773,13.7928,14.5351
16000,14.7560,12.8125,14.8236,13.2856,12.5532,11.6471,12.0589,12.3745,11.6924,12.2170,12.5396,12.2218,12.2905,11.9706,11.4540,12.0252
17000,11.2886,9.9490,11.2935,11.4427,10.1289,9.4408,9.2186,9.4228,9.4933,9.4397,10.0809,9.4153,9.8897,9.8158,8.6111,9.3789
18000,8.7685,7.6273,8.8478,8.8827,7.5781,6.6264,6.8510,6.6264,6.6264,6.6867,7.3603,6.8802,7.2402,6.8655,6.4101,6.6429
19000,6.4525,4.8258,6.4096,5.1002,4.6724,4.0898,4.5728,4.0898,4.0898,4.1918,4.6898,4.0898,4.3407,4.0898,3.7120,3.8169
20000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
