ramSize,amclock,arc,lru_k2_z-1,lru,clock,clocksweep,amclock_Final,WATT,hyperbolic20
100,30.2250,29.0020,35.1005,28.5763,28.9236,28.0095,30.6411,29.1087,27.7583
700,13.9524,14.0163,16.4232,15.3293,15.8592,14.7229,13.8249,13.5253,14.5850
800,13.0296,13.1336,15.3975,14.3881,14.8453,13.9508,13.0762,12.8210,13.8216
900,12.4946,12.3948,14.5371,13.5379,14.0212,13.2219,12.4239,12.1577,13.0853
1000,11.9333,11.7080,13.7294,12.8009,13.2621,12.5553,11.8937,11.5407,12.4144
2000,7.7162,7.1304,8.4845,7.9198,8.1864,8.0287,7.8664,7.8366,7.9169
3000,5.6855,4.9778,6.2068,5.2200,5.4180,5.5192,5.6536,5.8099,5.5424
4000,4.3508,4.1053,5.0057,4.0145,4.1437,4.3105,4.3624,4.4892,4.3674
5000,3.5758,3.4588,4.1414,3.3561,3.4828,3.5863,3.6003,3.6474,3.6305
6000,3.0398,2.9687,3.4760,2.9063,3.0203,3.0578,3.0535,3.0714,3.0887
7000,2.6277,2.5735,2.9876,2.5644,2.6834,2.6643,2.6346,2.6438,2.6941
8000,2.3306,2.2753,2.6004,2.2909,2.4091,2.3595,2.3212,2.3488,2.3914
9000,2.1067,2.0666,2.3005,2.0970,2.2002,2.1386,2.1082,2.1264,2.1618
10000,1.9463,1.9097,2.0689,1.9466,2.0385,1.9682,1.9473,1.9585,1.9831
11000,1.8290,1.8082,1.9052,1.8277,1.9137,1.8423,1.8315,1.8485,1.8534
12000,1.7441,1.7316,1.7828,1.7400,1.8130,1.7481,1.7460,1.7626,1.7588
13000,1.6863,1.6833,1.6933,1.6807,1.7490,1.6858,1.6850,1.6992,1.6948
14000,1.6449,1.6449,1.6449,1.6420,1.6934,1.6449,1.6449,1.6524,1.6480
15000,1.6218,1.6218,1.6218,1.6208,1.6473,1.6218,1.6218,1.6228,1.6230
16000,1.6129,1.6129,1.6129,1.6129,1.6147,1.6129,1.6129,1.6129,1.6129
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
