ramSize,arc,lru_k2_z-1,lru,clock,clocksweep,amclock,amclock1,amclock2,amclock3,amclock4,amclock5,WATT,hyperbolic10
100,29.0020,35.1005,28.5763,28.9236,28.0095,30.4713,30.0017,29.0675,28.8751,28.8751,28.8751,29.1087,28.0514
700,14.0163,16.4232,15.3293,15.8592,14.7229,13.8825,13.9450,13.4880,13.4650,13.4650,13.4650,13.5253,14.6767
800,13.1336,15.3975,14.3881,14.8453,13.9508,13.0929,13.1590,12.6674,12.7749,12.7749,12.7749,12.8210,13.8736
900,12.3948,14.5371,13.5379,14.0212,13.2219,12.4470,12.5134,12.0809,12.1833,12.1833,12.1833,12.1577,13.1596
1000,11.7080,13.7294,12.8009,13.2621,12.5553,11.9141,11.9062,11.5476,11.7675,11.7675,11.7675,11.5407,12.5151
2000,7.1304,8.4845,7.9198,8.1864,8.0287,7.9160,7.8237,7.9160,7.9160,7.9160,7.9160,7.8366,8.0044
3000,4.9778,6.2068,5.2200,5.4180,5.5192,5.6915,5.6289,5.6915,5.6915,5.6915,5.6915,5.8099,5.6128
4000,4.1053,5.0057,4.0145,4.1437,4.3105,4.3697,4.3103,4.3697,4.3697,4.3697,4.3697,4.4892,4.4163
5000,3.4588,4.1414,3.3561,3.4828,3.5863,3.6069,3.5588,3.6069,3.6069,3.6069,3.6069,3.6474,3.6977
6000,2.9687,3.4760,2.9063,3.0203,3.0578,3.0611,3.0314,3.0611,3.0611,3.0611,3.0611,3.0714,3.1570
7000,2.5735,2.9876,2.5644,2.6834,2.6643,2.6363,2.6274,2.6363,2.6363,2.6363,2.6363,2.6438,2.7570
8000,2.2753,2.6004,2.2909,2.4091,2.3595,2.3306,2.3290,2.3306,2.3306,2.3306,2.3306,2.3488,2.4370
9000,2.0666,2.3005,2.0970,2.2002,2.1386,2.1067,2.1105,2.1067,2.1067,2.1067,2.1067,2.1264,2.1911
10000,1.9097,2.0689,1.9466,2.0385,1.9682,1.9463,1.9513,1.9463,1.9463,1.9463,1.9463,1.9585,2.0094
11000,1.8082,1.9052,1.8277,1.9137,1.8423,1.8290,1.8345,1.8290,1.8290,1.8290,1.8290,1.8485,1.8762
12000,1.7316,1.7828,1.7400,1.8130,1.7481,1.7441,1.7439,1.7441,1.7441,1.7441,1.7441,1.7626,1.7784
13000,1.6833,1.6933,1.6807,1.7490,1.6858,1.6863,1.6850,1.6863,1.6863,1.6863,1.6863,1.6992,1.7037
14000,1.6449,1.6449,1.6420,1.6934,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6524,1.6550
15000,1.6218,1.6218,1.6208,1.6473,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6228,1.6237
16000,1.6129,1.6129,1.6129,1.6147,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
