ramSize,arc,lru_k2_z-1,lru,clock,clocksweep,amclock,amclock1,amclock2,amclock3,amclock4,amclock5,amclock6,amclock7,amclock8,amclock9,amclock10,amclock11,WATT,hyperbolic20,lrfu0.0,lrfu0.2,lrfu0.4
100,45.5376,49.3121,50.9511,51.7078,50.4339,48.4662,48.0353,48.7772,48.9329,48.6884,49.3216,46.1862,48.0061,46.2100,45.7669,46.1829,48.5083,47.1565,49.5885,0.0000,0.0000,0.0000
700,27.8646,29.4145,32.4474,33.3158,32.5787,29.4355,29.3962,28.3939,27.9271,28.6686,29.7934,27.7478,28.9932,27.1217,27.1431,27.6169,29.1920,28.2866,31.5733,0.0000,0.0000,0.0000
800,26.6739,28.1004,30.9843,31.8092,31.2277,28.0592,28.4958,26.6859,26.3984,27.5571,28.2662,26.0869,27.4801,26.0953,26.1136,26.3079,28.1363,27.0943,30.2884,0.0000,0.0000,0.0000
900,25.6379,26.9480,29.6968,30.5159,29.9491,26.8413,27.2052,25.4886,26.4276,27.0342,26.9610,25.7115,26.6423,25.8368,24.8890,25.3044,26.9656,26.0475,29.0666,0.0000,0.0000,0.0000
1000,24.7100,25.8938,28.4866,29.3435,28.7860,25.6853,26.2257,24.3994,25.8826,24.8385,25.9847,24.4277,25.4323,25.1463,24.8394,24.1386,25.5956,25.0213,27.9242,0.0000,0.0000,0.0000
2000,18.2747,18.6683,20.5192,21.1461,20.8418,19.2436,18.7918,17.9624,18.0987,18.0740,18.5892,18.0987,18.0329,18.4334,18.1790,17.7125,18.6731,18.5653,20.0994,0.0000,0.0000,0.0000
3000,14.5495,14.4902,15.4620,16.0168,15.9921,14.6207,15.3251,13.3037,14.4872,14.0022,14.1986,14.3879,13.9148,13.7589,13.9590,14.0197,13.9658,14.6496,15.3160,0.0000,0.0000,0.0000
4000,11.6682,11.5967,12.0895,12.5156,12.7691,12.6960,11.9100,10.7181,11.4317,11.2780,11.0960,11.4317,11.0407,10.8159,11.6598,12.0040,11.1712,11.7749,12.1850,0.0000,0.0000,0.0000
5000,9.1726,9.2953,9.5310,9.8579,10.3401,10.3937,10.4738,8.5307,9.5977,9.2987,8.9297,9.6781,8.8595,8.7647,9.2333,10.2168,9.0620,9.5536,9.8313,0.0000,0.0000,0.0000
6000,7.4483,7.3668,7.4274,7.6910,8.3969,8.7611,8.2217,6.8955,7.8965,7.8117,7.0316,7.6647,6.9788,7.0320,7.2822,8.1662,7.1717,7.7655,7.9682,0.0000,0.0000,0.0000
7000,5.6883,5.7553,5.6468,5.8666,6.7896,6.8997,6.6705,5.5131,6.4349,6.3874,5.4797,6.2167,5.4107,5.6059,5.7302,6.5623,5.5783,6.2211,6.4018,0.0000,0.0000,0.0000
8000,4.1896,4.3679,4.1418,4.2839,5.3488,5.4411,5.2461,4.2496,5.3314,5.0684,4.1968,4.8565,4.8565,4.2892,4.2892,4.7873,4.1824,4.9896,5.0671,0.0000,0.0000,0.0000
9000,2.9295,3.1967,2.8626,2.9626,4.0557,4.3463,4.1765,3.0701,4.0276,4.1623,3.0316,4.0276,4.0276,3.4362,3.4362,3.9716,3.0725,3.8771,3.8505,0.0000,0.0000,0.0000
10000,2.0015,2.3647,1.9253,2.0182,2.9857,3.3417,3.1054,3.3417,3.3417,3.3728,2.2456,3.1318,3.1318,2.7467,2.7467,3.1023,2.2486,3.1299,2.8423,0.0000,0.0000,0.0000
11000,1.8934,2.1723,1.8265,1.8985,2.1657,2.4876,2.2826,2.4876,2.4876,2.6237,2.0042,2.4876,2.4876,2.4876,2.4876,2.4876,2.0027,2.5340,2.1192,0.0000,0.0000,0.0000
12000,1.8046,2.0062,1.7522,1.8134,1.7819,2.0219,1.8741,2.0219,2.0219,2.0469,1.8763,2.0219,2.0219,2.0219,2.0219,2.0219,1.8762,2.1356,1.8229,0.0000,0.0000,0.0000
13000,1.7399,1.8504,1.6998,1.7869,1.6889,1.8051,1.7250,1.8051,1.8051,1.8051,1.7817,1.8051,1.8051,1.8051,1.8051,1.8051,1.7817,1.8983,1.7242,0.0000,0.0000,0.0000
14000,1.6625,1.6912,1.6642,1.7307,1.6544,1.6803,1.6552,1.6803,1.6803,1.6803,1.6803,1.6803,1.6803,1.6803,1.6803,1.6803,1.6803,1.7819,1.6689,0.0000,0.0000,0.0000
15000,1.6358,1.6358,1.6399,1.6808,1.6358,1.6358,1.6358,1.6358,1.6358,1.6358,1.6358,1.6358,1.6358,1.6358,1.6358,1.6358,1.6358,1.6831,1.6398,0.0000,0.0000,0.0000
16000,1.6273,1.6273,1.6270,1.6317,1.6273,1.6273,1.6273,1.6273,1.6273,1.6273,1.6273,1.6273,1.6273,1.6273,1.6273,1.6273,1.6273,1.6366,1.6269,0.0000,0.0000,0.0000
17000,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,0.0000,0.0000,0.0000
