ramSize,arc,lru_k2_z-1,lru,clock,clocksweep,amclock,amclock1,amclock2,amclock3,amclock4,amclock5,amclock6,amclock7,amclock8,amclock9,amclock10,amclock11,WATT,hyperbolic20,lrfu0.0,lrfu0.2,lrfu0.4
100,45.6900,49.4967,51.2048,51.9577,50.7370,48.7285,48.6779,48.9674,49.1183,48.8504,49.5455,46.3175,48.1856,46.3174,45.8744,46.3120,48.6910,47.3749,49.8368,0.0000,0.0000,0.0000
900,25.7754,27.1149,29.7483,30.5834,30.0528,27.0576,27.7496,25.5695,26.5413,27.0703,26.9676,26.0698,26.7686,25.6300,25.6189,26.0888,26.9768,26.1227,29.1662,0.0000,0.0000,0.0000
1000,24.8089,26.0387,28.5771,29.3943,28.8885,26.1658,26.5705,24.6733,25.9338,25.3991,26.0623,24.6414,25.5470,24.7020,25.0625,24.8107,25.6825,25.1357,28.0261,0.0000,0.0000,0.0000
2000,18.2517,18.7128,20.4712,21.1118,20.8665,19.1713,19.8379,17.9884,18.7070,18.8725,18.4152,18.9890,18.1577,18.4807,18.7941,18.4697,18.3995,18.6452,20.1735,0.0000,0.0000,0.0000
3000,14.5089,14.5512,15.4303,15.9757,15.9760,15.3555,15.6698,13.9151,15.0906,15.1909,14.1066,14.8751,13.9983,14.1859,14.1844,14.6203,13.9614,14.7359,15.4149,0.0000,0.0000,0.0000
4000,11.6150,11.6560,12.0458,12.4582,12.7166,12.6217,12.1498,10.8133,12.4185,12.3343,11.0605,12.4185,11.0537,11.4973,11.3491,12.0503,11.0462,11.8712,12.2253,0.0000,0.0000,0.0000
5000,9.1993,9.3326,9.4597,9.7815,10.2442,10.1894,10.0801,8.8486,10.0366,10.1126,8.8391,9.4166,8.8705,8.8620,8.9624,9.8300,8.9699,9.6158,9.8161,0.0000,0.0000,0.0000
6000,7.3679,7.3945,7.3278,7.5819,8.2449,8.5841,8.1943,6.9913,7.9827,8.2384,6.9649,8.0757,7.2895,7.1967,7.3029,7.7587,7.0793,7.7987,7.9131,0.0000,0.0000,0.0000
7000,5.6175,5.7613,5.5260,5.7198,6.5911,6.6341,6.6551,5.5054,6.7351,6.6354,5.3696,6.4930,5.2779,5.6306,5.5576,6.1018,5.4557,6.1650,6.3090,0.0000,0.0000,0.0000
8000,4.0339,4.3465,3.9868,4.1142,5.1032,5.3408,5.1460,4.5723,5.2889,5.1381,4.0465,5.0592,4.4563,4.2258,4.2324,4.8077,4.0546,4.8114,4.9103,0.0000,0.0000,0.0000
9000,2.7126,3.1453,2.6782,2.7677,3.7797,4.1302,3.9519,3.3480,3.9203,4.0017,2.8727,3.8489,3.8489,3.2005,3.2005,3.7449,2.9051,3.6378,3.6577,0.0000,0.0000,0.0000
10000,1.7406,2.2546,1.7035,1.7662,2.7569,3.1558,2.9640,3.1558,3.1558,3.1242,2.0287,2.8621,2.8621,2.5181,2.5181,2.7757,2.0322,2.7266,2.6330,0.0000,0.0000,0.0000
11000,1.5769,1.9333,1.5508,1.6427,1.9047,2.2118,2.0405,2.2118,2.2118,2.2758,1.7192,2.1914,1.8926,2.0885,2.0885,2.1641,1.6649,2.0387,1.8855,0.0000,0.0000,0.0000
12000,1.4258,1.6604,1.4300,1.5127,1.3693,1.5306,1.4278,1.5306,1.5306,1.5483,1.4842,1.5306,1.5275,1.5306,1.5306,1.5306,1.4961,1.6037,1.4541,0.0000,0.0000,0.0000
13000,1.2856,1.3986,1.3193,1.4756,1.1935,1.2236,1.1911,1.2236,1.2236,1.2107,1.2697,1.2236,1.2236,1.2236,1.2236,1.2236,1.2636,1.3901,1.2568,0.0000,0.0000,0.0000
14000,1.1398,1.0968,1.2158,1.3366,1.0782,1.0746,1.0669,1.0746,1.0746,1.0746,1.1117,1.0746,1.0746,1.0746,1.0746,1.0746,1.1128,1.1961,1.1278,0.0000,0.0000,0.0000
15000,1.0151,1.0253,1.1046,1.1594,1.0146,1.0127,1.0134,1.0127,1.0127,1.0127,1.0154,1.0127,1.0127,1.0127,1.0127,1.0127,1.0154,1.1209,1.0412,0.0000,0.0000,0.0000
16000,0.9769,0.9839,0.9770,1.0066,0.9807,0.9797,0.9803,0.9797,0.9797,0.9797,0.9797,0.9797,0.9797,0.9797,0.9797,0.9797,0.9797,1.0111,0.9893,0.0000,0.0000,0.0000
17000,0.9570,0.9570,0.9554,1.0235,0.9573,0.9570,0.9571,0.9570,0.9570,0.9570,0.9570,0.9570,0.9570,0.9570,0.9570,0.9570,0.9570,1.0312,0.9609,0.0000,0.0000,0.0000
18000,0.9453,0.9453,0.9450,0.9835,0.9453,0.9453,0.9453,0.9453,0.9453,0.9453,0.9453,0.9453,0.9453,0.9453,0.9453,0.9453,0.9453,0.9715,0.9461,0.0000,0.0000,0.0000
19000,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.0000,0.0000,0.0000
