ramSize,amclock,amclock1,amclock2,amclock3,amclock4,amclock5,amclock6,amclock7,amclock8,amclock9,amclock10,amclock11,amclock_Final,amclock_DW,arc,lru_k2_z-1,lru,clock,clocksweep,WATT,hyperbolic20
100,48.7382,48.7801,48.8048,48.9452,48.6132,49.3517,46.1497,47.9624,46.2464,45.8183,46.2707,48.4698,48.4537,46.3112,45.5602,49.3270,50.9543,51.7096,50.4791,47.1662,49.6433
700,29.8906,30.0209,28.2434,28.4247,28.8984,29.6573,28.6906,29.3705,27.8582,28.2455,28.1714,29.1604,29.6272,27.5950,27.9787,29.5166,32.4728,33.3386,32.6681,28.5969,31.7575
800,28.8820,28.9823,26.7391,27.8498,28.4188,28.2853,27.5724,27.7188,27.1357,27.1139,27.3124,27.8924,28.4484,26.2800,26.7983,28.2243,31.0147,31.8366,31.3248,27.4157,30.4356
900,27.2653,27.5752,25.8126,26.3331,27.1116,27.1203,26.2116,26.7089,25.8166,26.4854,26.5732,26.8427,27.4459,25.6873,25.7624,27.0883,29.7314,30.5464,30.0554,26.4111,29.2316
1000,26.4807,26.6377,24.7114,25.9309,26.3387,25.8691,25.8347,25.6514,24.9722,25.4301,25.4497,25.5537,26.5711,25.3495,24.8440,26.0485,28.5240,29.3774,28.8791,25.4479,28.1242
2000,19.4969,19.8793,18.4119,19.0976,19.2865,18.9108,19.8178,18.5941,18.8650,19.0433,19.1712,18.7813,20.0556,18.7353,18.5243,18.9765,20.6310,21.2430,21.0338,19.3183,20.3605
3000,15.9980,15.7669,14.2027,15.1127,15.2705,14.4651,15.1127,14.4963,14.5488,14.7539,15.1855,14.4242,15.7465,14.7993,14.8275,14.9292,15.6481,16.1947,16.2798,15.5667,15.7271
4000,12.7755,12.8233,11.5417,12.8791,12.6197,11.6274,12.5590,11.6231,11.9888,12.0353,13.0230,11.5274,12.8062,12.1886,11.9548,12.1270,12.3318,12.7463,13.1046,12.8448,12.6935
5000,10.5673,10.3972,9.3466,10.2263,10.2627,9.3865,10.0471,10.1893,9.6975,9.8817,10.1255,9.4261,10.5501,9.4937,9.5844,9.9334,9.8277,10.1394,10.7094,10.5829,10.3717
6000,8.6296,8.5868,7.6331,8.7355,8.4953,7.6768,8.4392,8.4076,7.9008,7.9008,7.9633,7.7268,8.7112,7.8560,7.8626,8.0974,7.7751,8.0190,8.6529,8.6256,8.4275
7000,7.2408,7.0135,6.1207,7.0341,7.0587,6.1425,7.0341,6.5505,6.4608,6.4608,6.9177,6.1855,7.0765,6.3826,6.1256,6.5610,6.0674,6.2586,6.9647,6.9893,6.7683
8000,5.8112,5.6816,5.1660,5.6536,5.8832,4.9394,5.5924,5.5924,5.3297,5.3337,5.5087,4.9164,5.7458,5.2430,4.7100,5.2140,4.6469,4.7806,5.5482,5.5972,5.4141
9000,4.5468,4.3904,4.5468,4.5468,4.6257,3.9470,4.5269,4.5269,4.3812,4.3812,4.4968,3.9202,4.5379,4.3500,3.5311,4.1012,3.4715,3.5799,4.2758,4.3989,4.2225
10000,3.5078,3.3528,3.5078,3.5078,3.5378,3.1874,3.4850,3.4850,3.4390,3.4390,3.4745,3.1997,3.5028,3.4217,2.7314,3.3565,2.6905,2.8293,3.2362,3.4324,3.2337
11000,2.6426,2.5428,2.6426,2.6426,2.5648,2.5906,2.6426,2.6426,2.6426,2.6426,2.6426,2.6168,2.6426,2.6426,2.4041,2.7680,2.4245,2.6990,2.4616,2.7399,2.5120
12000,2.0592,2.0188,2.0592,2.0592,2.0342,2.1353,2.0592,2.0592,2.0592,2.0592,2.0592,2.1161,2.0592,2.0592,2.1026,2.2097,2.1952,2.4634,2.0478,2.2309,2.0997
13000,1.7768,1.7886,1.7768,1.7768,1.7768,1.8139,1.7768,1.7768,1.7768,1.7768,1.7768,1.8139,1.7768,1.7768,1.7767,1.7632,1.9597,2.0693,1.8215,1.9948,1.8681
14000,1.6769,1.6907,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6733,1.6798,1.6693,1.7218,1.6895,1.7500,1.7233
15000,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6388,1.7579,1.6446,1.7420,1.6516
16000,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6524,1.6264,1.6416,1.6281
17000,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262
