ramSize,arc,lru_k2_z-1,lru,clock,clocksweep,amclock,amclock1,amclock2,amclock3,amclock4,amclock5,amclock6,amclock7,amclock8,amclock9,WATT,hyperbolic10
100,13.9809,16.8473,14.5174,14.8298,13.8325,16.6002,14.9996,14.1238,13.7682,13.7778,13.9575,13.7356,13.8151,13.8650,13.8777,13.2466,14.0873
600,10.7528,12.3543,11.2024,11.4598,11.0802,11.1261,11.0580,10.8994,10.8951,10.9354,10.9140,10.8861,10.8845,10.8756,10.8887,10.2759,11.1545
700,10.6105,12.1351,10.9820,11.2209,10.9156,10.9740,10.9305,10.7514,10.7398,10.7798,10.7548,10.7248,10.7250,10.7239,10.7246,10.1487,10.9881
800,10.4833,11.9416,10.8170,11.0166,10.7845,10.8157,10.7952,10.6240,10.6126,10.6470,10.6136,10.5979,10.5960,10.5909,10.6181,10.0532,10.8548
900,10.3703,11.7994,10.6778,10.8594,10.6724,10.6739,10.6617,10.4812,10.5134,10.5312,10.5061,10.4875,10.4884,10.4788,10.5016,9.9431,10.7318
1000,10.2826,11.6715,10.5560,10.7288,10.5775,10.5371,10.5271,10.3966,10.4093,10.4100,10.4155,10.3964,10.3934,10.3927,10.3946,9.8556,10.6308
2000,9.7042,10.8922,9.7786,9.8881,9.8794,9.8904,9.8598,9.8377,9.8529,9.8604,9.7635,9.8198,9.7643,9.7805,9.7921,9.1303,9.9172
3000,9.2145,10.3788,9.2497,9.3590,9.4240,9.5222,9.4809,9.4303,9.4969,9.5164,9.3560,9.4850,9.3665,9.4085,9.4162,8.5798,9.4574
4000,8.8233,9.9579,8.8340,8.9475,9.0669,9.2169,9.1407,9.2169,9.2169,9.2414,9.0098,9.1531,9.0351,9.2063,9.2064,8.1466,9.1001
5000,8.4570,9.5814,8.4934,8.6077,8.7498,8.9508,8.8638,8.9508,8.9508,8.8953,8.7081,8.8763,8.7163,8.8509,8.8427,7.7883,8.7973
6000,8.1431,9.2319,8.1859,8.2953,8.4745,8.6253,8.6018,8.6253,8.6253,8.5925,8.4118,8.5785,8.4449,8.5014,8.4950,7.4656,8.5137
7000,7.8492,8.9097,7.9080,8.0397,8.2129,8.2929,8.2631,8.2929,8.2929,8.3143,8.1125,8.2581,8.1334,8.2127,8.2134,7.1869,8.2593
8000,7.5736,8.6235,7.6461,7.7801,7.9741,8.0417,7.9849,8.0417,8.0417,8.0237,7.8575,8.0417,7.8979,8.0417,8.0397,6.9587,8.0121
9000,7.3424,8.3559,7.4115,7.5719,7.7368,7.7581,7.7371,7.7581,7.7581,7.7404,7.6227,7.7581,7.6616,7.7581,7.7435,6.7461,7.7856
10000,7.1400,8.1051,7.1913,7.3591,7.5150,7.5304,7.4925,7.5304,7.5304,7.5260,7.3964,7.5304,7.4461,7.5304,7.5112,6.5320,7.5713
20000,5.6013,6.2796,5.7017,5.9148,5.9187,5.8673,5.8588,5.8673,5.8673,5.8662,5.8305,5.8673,5.8479,5.8673,5.8673,5.3160,5.9775
30000,4.9435,5.2639,4.9996,5.2330,5.0823,5.0521,5.0471,5.0521,5.0521,5.0572,5.0455,5.0521,5.0521,5.0521,5.0521,4.8318,5.1588
40000,4.6500,4.7468,4.6492,4.8400,4.6768,4.6783,4.6657,4.6783,4.6783,4.6783,4.6780,4.6783,4.6783,4.6783,4.6783,4.6093,4.7271
50000,4.5026,4.5026,4.4927,4.6937,4.5027,4.5028,4.5025,4.5028,4.5028,4.5028,4.5028,4.5028,4.5028,4.5028,4.5028,4.4895,4.5206
60000,4.4372,4.4372,4.4336,4.4896,4.4372,4.4372,4.4372,4.4372,4.4372,4.4372,4.4372,4.4372,4.4372,4.4372,4.4372,4.4337,4.4382
70000,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276
