ramSize,arc,lru_k2_z-1,clock,clocksweep,mclock1111,mclock0101,mclock0201,mclock0211,mclock0301,mclock0401,mclock0501,mclock0601,mclock0701,mclock0801,mclock01001,mclock01401,mclock01601,mclock02001,mclock02401,amclock,WATT
100,62.3534,63.8790,74.9891,72.9482,70.7668,70.7668,68.2696,68.6067,66.7796,65.7145,64.9343,64.3331,63.8388,63.4387,62.8114,62.0642,61.7610,61.3441,61.0733,62.6173,65.5634
200,55.4438,56.8642,67.2661,65.1531,62.9283,62.9283,60.3565,60.6751,58.9120,57.8931,57.1695,56.6059,56.1389,55.7974,55.2703,54.5464,54.3069,53.9261,53.6502,55.0415,57.9693
300,51.2440,52.4653,62.3324,60.1563,57.8613,57.8613,55.4176,55.6863,53.9597,53.0466,52.3179,51.8182,51.3995,51.0393,50.5294,49.8816,49.6728,49.3488,49.1120,50.3783,53.3104
400,48.1666,49.2715,58.5941,56.4000,54.1623,54.1623,51.6992,51.9601,50.3427,49.4210,48.7503,48.2883,47.8935,47.5995,47.0936,46.5022,46.2821,45.9829,45.7506,46.9910,49.8488
500,45.7001,46.7173,55.5921,53.3784,51.1451,51.1451,48.7480,48.9627,47.4196,46.5821,45.9542,45.4607,45.1022,44.8133,44.3925,43.8242,43.6174,43.3080,43.0978,44.2670,47.1016
600,43.6471,44.5371,53.0244,50.8200,48.6152,48.6152,46.2756,46.4569,44.9954,44.1643,43.5986,43.1652,42.8374,42.5389,42.1208,41.5717,41.3753,41.1156,40.9166,41.9832,44.8422
700,41.9058,42.6761,50.8429,48.5986,46.4106,46.4106,44.1575,44.3126,42.9045,42.1260,41.5672,41.1522,40.8124,40.5503,40.1478,39.5934,39.4274,39.1696,39.0259,40.0367,42.8590
800,40.3740,41.0202,48.8741,46.6411,44.4871,44.4871,42.2699,42.4029,41.0895,40.3267,39.7781,39.3606,39.0322,38.7922,38.4099,37.8951,37.7616,37.5120,37.3372,38.2769,41.1369
900,38.9678,39.5300,47.1037,44.8846,42.7395,42.7395,40.5585,40.7187,39.4159,38.6864,38.1647,37.7524,37.4672,37.2169,36.8612,36.3766,36.2465,36.0646,35.9119,36.7666,39.6079
1000,37.7060,38.1685,45.4824,43.2714,41.1758,41.1758,39.0523,39.1981,37.9263,37.1831,36.6903,36.3430,36.0174,35.7981,35.4549,35.0677,34.9147,34.7050,34.5633,35.3927,38.2076
2000,29.0927,28.5730,33.9581,31.9151,30.1121,30.1121,28.4416,28.4719,27.6192,27.0905,26.7774,26.5074,26.2980,26.1439,25.9336,25.6595,25.5668,25.4433,25.4041,25.9285,28.4388
3000,23.7373,22.3861,26.4026,24.5331,23.0845,23.0845,21.8016,21.7824,21.2130,20.8437,20.5953,20.4144,20.2939,20.2022,20.0720,19.9225,19.8929,19.8481,19.8222,20.0932,22.1788
4000,18.7477,17.6873,20.6187,18.9900,17.8614,17.8614,16.9430,16.8793,16.5119,16.2696,16.1210,16.0117,15.9325,15.8731,15.7903,15.7221,15.7154,15.7244,15.7360,15.8489,17.5127
5000,15.2742,13.8068,15.8934,14.5586,13.7177,13.7177,13.0762,12.9991,12.7949,12.6326,12.5464,12.4756,12.4164,12.3748,12.3281,12.3327,12.3427,12.3597,12.3742,12.4177,13.7016
6000,11.4586,10.5050,11.9221,10.8688,10.3013,10.3013,9.8843,9.8292,9.7031,9.6100,9.5490,9.5246,9.5036,9.4892,9.4604,9.4729,9.4832,9.5252,9.5464,9.5425,10.4532
7000,8.1979,7.6185,8.5227,7.7456,7.3949,7.3949,7.1568,7.1140,7.0621,7.0106,6.9837,6.9686,6.9645,6.9495,6.9579,6.9810,6.9786,6.9997,7.0253,6.9827,7.6554
8000,5.3724,5.0681,5.5370,5.0746,4.8733,4.8733,4.7747,4.7652,4.7320,4.7092,4.7111,4.6934,4.6959,4.7034,4.6984,4.7157,4.7276,4.7434,4.7525,4.7252,5.1469
9000,2.9220,2.8190,3.0063,2.7783,2.7329,2.7329,2.7025,2.6956,2.6923,2.6819,2.6883,2.6891,2.6925,2.6959,2.6879,2.6878,2.6949,2.7030,2.7227,2.6991,2.9571
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
