ramSize,lru,clock,mclock0101,mclock0201,mclock0301,mclock0401,mclock0501,mclock0601,mclock0701,mclock0801,mclock01001,mclock01401,mclock01601,mclock02001,mclock02401
100,34.3139,35.5006,31.4746,29.6547,28.7158,28.1382,27.7163,27.3778,27.1418,26.9437,26.6462,26.2667,26.1307,25.9417,25.7913
200,27.1849,28.1671,24.8505,23.3846,22.6496,22.1576,21.8167,21.5767,21.3985,21.2429,21.0005,20.6973,20.6198,20.4802,20.3856
300,23.4685,24.2909,21.3826,20.1226,19.4621,19.0085,18.7310,18.4897,18.3247,18.1961,17.9893,17.7496,17.6586,17.5497,17.4799
400,20.9892,21.7514,19.0757,17.8937,17.2828,16.9126,16.6679,16.4637,16.3262,16.2144,16.0395,15.8248,15.7629,15.6637,15.6001
500,19.1427,19.8666,17.3545,16.2577,15.7097,15.3966,15.1652,14.9979,14.8691,14.7867,14.6315,14.4437,14.3720,14.2697,14.2155
600,17.6917,18.3702,15.9926,14.9917,14.5091,14.2132,14.0079,13.8455,13.7283,13.6329,13.4808,13.3120,13.2607,13.1814,13.1240
700,16.4995,17.1527,14.8798,13.9663,13.5224,13.2277,13.0287,12.8832,12.7727,12.6894,12.5735,12.3991,12.3406,12.2716,12.2383
800,15.4869,16.1012,13.9556,13.1182,12.6741,12.3906,12.2068,12.0758,11.9864,11.9029,11.7768,11.6329,11.5985,11.5295,11.4965
900,14.6233,15.2298,13.1722,12.3561,11.9394,11.6846,11.5110,11.3975,11.2889,11.2380,11.1318,11.0138,10.9765,10.9007,10.8668
1000,13.8660,14.4304,12.4807,11.6909,11.3035,11.0764,10.9143,10.8068,10.7132,10.6500,10.5531,10.4273,10.3850,10.3343,10.2999
2000,9.1473,9.5572,8.1646,7.6883,7.4715,7.3402,7.2519,7.1895,7.1425,7.1041,7.0585,7.0143,7.0032,6.9896,6.9790
3000,6.6711,6.9846,5.9583,5.6262,5.4885,5.4214,5.3685,5.3390,5.3221,5.3055,5.2841,5.2723,5.2712,5.2795,5.2837
4000,5.0438,5.2746,4.5144,4.3160,4.2321,4.1784,4.1557,4.1429,4.1362,4.1323,4.1261,4.1406,4.1425,4.1504,4.1555
5000,3.8472,4.0257,3.4781,3.3492,3.3138,3.2918,3.2770,3.2778,3.2755,3.2726,3.2720,3.2772,3.2808,3.2892,3.2946
6000,2.9155,3.0610,2.6711,2.6092,2.5882,2.5839,2.5843,2.5820,2.5809,2.5855,2.5920,2.5963,2.5980,2.6017,2.6027
7000,2.1910,2.2838,2.0540,2.0245,2.0253,2.0243,2.0267,2.0251,2.0260,2.0279,2.0294,2.0338,2.0369,2.0397,2.0416
8000,1.6260,1.6928,1.5656,1.5566,1.5500,1.5532,1.5536,1.5537,1.5572,1.5559,1.5561,1.5578,1.5571,1.5583,1.5595
9000,1.2055,1.2430,1.1943,1.1910,1.1850,1.1864,1.1871,1.1881,1.1891,1.1908,1.1912,1.1909,1.1909,1.1909,1.1909
10000,0.9940,0.9940,0.9940,0.9940,0.9940,0.9940,0.9940,0.9940,0.9940,0.9940,0.9940,0.9940,0.9940,0.9940,0.9940
