ramSize,lru,clock,mclock0101,mclock0201,mclock0301,mclock0401,mclock0501,mclock0601,mclock0701,mclock0801,mclock01001,mclock01401,mclock01601,mclock02001,mclock02401
100,61.0858,62.4246,57.7325,55.2209,53.7529,52.8320,52.1146,51.5998,51.1537,50.8024,50.3090,49.5981,49.3533,49.0304,48.8033
200,52.8113,54.0472,49.5778,47.2077,45.8378,45.0111,44.4149,43.9400,43.5401,43.2934,42.8355,42.2640,42.0682,41.7579,41.5556
300,47.8563,49.0364,44.6993,42.4786,41.2471,40.5004,39.9215,39.4867,39.1477,38.8700,38.4608,37.9286,37.7597,37.5136,37.3558
400,44.2614,45.4416,41.1810,39.1034,37.9727,37.2003,36.6723,36.2865,36.0262,35.7686,35.3821,34.8992,34.7429,34.4915,34.3326
500,41.4545,42.5872,38.4637,36.4588,35.3502,34.7013,34.1949,33.8213,33.5321,33.3046,32.9701,32.4776,32.3264,32.1133,32.0125
600,39.1390,40.2403,36.2331,34.2852,33.2788,32.5969,32.1121,31.7955,31.5186,31.2669,30.9488,30.5525,30.4200,30.2359,30.0860
700,37.1355,38.2275,34.3348,32.4818,31.4620,30.8365,30.3731,30.0246,29.7705,29.5757,29.2920,28.9308,28.8050,28.6243,28.4794
800,35.4190,36.4915,32.6675,30.8578,29.9030,29.2690,28.8688,28.5745,28.3313,28.1405,27.8739,27.4895,27.3620,27.1868,27.0972
900,33.9044,34.9579,31.1938,29.4214,28.5099,27.9594,27.5682,27.2848,27.0204,26.8406,26.5490,26.2461,26.1399,25.9889,25.8774
1000,32.5424,33.5534,29.8905,28.1646,27.2877,26.7950,26.3885,26.0950,25.8613,25.7095,25.4802,25.1699,25.0807,24.9445,24.8416
2000,23.3011,24.1612,21.1123,19.8707,19.2563,18.9001,18.6572,18.4844,18.3580,18.2652,18.1199,17.9978,17.9343,17.8684,17.8312
3000,17.6877,18.3950,15.8938,14.9950,14.5722,14.3154,14.1488,14.0362,13.9541,13.8939,13.8189,13.7233,13.7044,13.6891,13.7008
4000,13.6085,14.1629,12.1712,11.4961,11.2195,11.0569,10.9602,10.8917,10.8249,10.7862,10.7459,10.7161,10.7232,10.7311,10.7594
5000,10.3852,10.8216,9.2573,8.8567,8.6565,8.5494,8.5156,8.4842,8.4652,8.4369,8.4118,8.4039,8.4099,8.4271,8.4483
6000,7.7677,8.0713,6.9486,6.6835,6.5777,6.5268,6.4943,6.4764,6.4818,6.4753,6.4748,6.4686,6.4765,6.4945,6.5186
7000,5.5621,5.7782,5.0300,4.8896,4.8388,4.8131,4.7992,4.7912,4.7896,4.7873,4.7942,4.8092,4.8145,4.8272,4.8467
8000,3.7032,3.8290,3.4037,3.3343,3.3171,3.3154,3.3142,3.3090,3.3097,3.3155,3.3164,3.3258,3.3290,3.3433,3.3516
9000,2.1662,2.2214,2.0455,2.0327,2.0305,2.0260,2.0255,2.0301,2.0322,2.0324,2.0321,2.0278,2.0355,2.0410,2.0454
10000,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
