ramSize,amclock_DW,amclock_Final,amclock_WA,arc,WATT,lru_k2_z-1,lru,clock,clocksweep,hyperbolic20
100,63.2348,61.7684,61.5746,62.3534,65.4573,63.8790,73.8311,74.9891,72.9482,71.4939
200,55.1760,54.3120,54.1480,55.4438,57.9042,56.8642,66.0753,67.2661,65.1531,63.6965
300,51.1171,49.6815,49.5428,51.2440,53.2546,52.4653,61.1268,62.3324,60.1563,58.6973
400,48.4037,46.2954,46.2045,48.1666,49.8684,49.2715,57.3957,58.5941,56.4000,54.9618
500,45.3098,43.6341,43.5140,45.7001,47.1393,46.7173,54.3869,55.5921,53.3784,51.9893
600,43.5686,41.3873,41.3117,43.6471,44.8725,44.5371,51.8449,53.0244,50.8200,49.4292
700,40.1470,39.4487,39.3468,41.9058,42.9010,42.6761,49.6235,50.8429,48.5986,47.2380
800,38.4138,37.7661,37.6729,40.3740,41.1693,41.0202,47.6749,48.8741,46.6411,45.3022
900,37.0838,36.2585,36.1819,38.9678,39.6167,39.5300,45.9120,47.1037,44.8846,43.5893
1000,37.1342,34.9268,34.8633,37.7060,38.2165,38.1685,44.3045,45.4824,43.2714,42.0019
2000,27.5249,25.6109,25.5535,29.0927,28.3672,28.5730,32.9349,33.9581,31.9151,30.8792
3000,20.7271,19.9204,19.9041,23.7373,22.1429,22.3861,25.4912,26.4026,24.5331,23.7378
4000,16.0634,15.7399,15.7405,18.7477,17.4615,17.6873,19.8853,20.6187,18.9900,18.4152
5000,12.3906,12.3548,12.3638,15.2742,13.6605,13.8068,15.3438,15.8934,14.5586,14.1556
6000,9.6379,9.5255,9.5335,11.4586,10.4053,10.5050,11.5026,11.9221,10.8688,10.6293
7000,7.1773,6.9832,6.9953,8.1979,7.6249,7.6185,8.2213,8.5227,7.7456,7.6256
8000,4.7320,4.7252,4.7231,5.3724,5.1202,5.0681,5.3914,5.5370,5.0746,5.0354
9000,2.6971,2.6991,2.6991,2.9220,2.9480,2.8190,2.9263,3.0063,2.7783,2.8021
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
