ramSize,arc,lru_k2_z-1,clock,clocksweep,amclock,amclock1,amclock2,amclock3,amclock4,WATT
100,62.3534,0.0000,74.9891,72.9482,62.6173,64.6127,69.2234,69.0903,69.0903,65.5634
200,55.4438,0.0000,67.2661,65.1531,55.0415,56.8669,60.9232,59.8700,59.8700,57.9693
300,51.2440,0.0000,62.3324,60.1563,50.3783,52.0914,55.5316,53.8305,53.8305,53.3104
400,48.1666,0.0000,58.5941,56.4000,46.9910,48.5821,51.2499,49.2239,49.2239,49.8488
500,45.7001,0.0000,55.5921,53.3784,44.2670,45.7417,47.5696,45.3599,45.3599,47.1016
600,43.6471,0.0000,53.0244,50.8200,41.9832,43.4014,44.6438,42.9319,42.9319,44.8422
700,41.9058,0.0000,50.8429,48.5986,40.0367,41.3863,41.4950,40.4512,40.4512,42.8590
800,40.3740,0.0000,48.8741,46.6411,38.2769,39.5967,39.3457,38.6138,38.6138,41.1369
900,38.9678,0.0000,47.1037,44.8846,36.7666,38.0144,37.4353,36.8494,36.8494,39.6079
1000,37.7060,0.0000,45.4824,43.2714,35.3927,36.5653,35.6494,35.4428,35.4428,38.2076
2000,29.0927,0.0000,33.9581,31.9151,25.9285,26.7370,25.9285,25.9285,25.9285,28.4388
3000,23.7373,0.0000,26.4026,24.5331,20.0932,20.6149,20.0932,20.0932,20.0932,22.1788
4000,18.7477,0.0000,20.6187,18.9900,15.8489,16.1729,15.8489,15.8489,15.8489,17.5127
5000,15.2742,0.0000,15.8934,14.5586,12.4177,12.6259,12.4177,12.4177,12.4177,13.7016
6000,11.4586,0.0000,11.9221,10.8688,9.5425,9.6420,9.5425,9.5425,9.5425,10.4532
7000,8.1979,0.0000,8.5227,7.7456,6.9827,7.0603,6.9827,6.9827,6.9827,7.6554
8000,5.3724,0.0000,5.5370,5.0746,4.7252,4.7840,4.7252,4.7252,4.7252,5.1469
9000,2.9220,0.0000,3.0063,2.7783,2.6991,2.7334,2.6991,2.6991,2.6991,2.9571
10000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
