ramSize,arc,lru_k2_z-1,lru,clock,clocksweep,amclock,amclock1,amclock2,amclock3,amclock4,amclock5,amclock6,WATT,hyperbolic10
100,62.3534,63.8790,73.8311,74.9891,72.9482,62.6173,64.6127,69.2234,69.0903,68.0465,70.4843,62.8563,65.5634,72.1323
200,55.4438,56.8642,66.0753,67.2661,65.1531,55.0415,56.8669,60.9232,59.8700,58.1525,62.0518,55.0415,57.9693,64.3596
300,51.2440,52.4653,61.1268,62.3324,60.1563,50.3783,52.0914,55.5316,53.8305,51.9978,56.6482,50.3783,53.3104,59.3636
400,48.1666,49.2715,57.3957,58.5941,56.4000,46.9910,48.5821,51.2499,49.2239,47.7221,52.7223,46.9910,49.8488,55.6603
500,45.7001,46.7173,54.3869,55.5921,53.3784,44.2670,45.7417,47.5696,45.3599,44.5914,49.5592,44.2670,47.1016,52.6675
600,43.6471,44.5371,51.8449,53.0244,50.8200,41.9832,43.4014,44.6438,42.9319,42.0265,47.0218,41.9832,44.8422,50.1085
700,41.9058,42.6761,49.6235,50.8429,48.5986,40.0367,41.3863,41.4950,40.4512,40.0631,44.8280,40.0367,42.8590,47.9159
800,40.3740,41.0202,47.6749,48.8741,46.6411,38.2769,39.5967,39.3457,38.6138,38.2769,42.9268,38.2769,41.1369,45.9906
900,38.9678,39.5300,45.9120,47.1037,44.8846,36.7666,38.0144,37.4353,36.8494,36.8023,41.2351,36.7666,39.6079,44.2492
1000,37.7060,38.1685,44.3045,45.4824,43.2714,35.3927,36.5653,35.6494,35.4428,35.4247,39.6475,35.3927,38.2076,42.6893
2000,29.0927,28.5730,32.9349,33.9581,31.9151,25.9285,26.7370,25.9285,25.9285,25.9285,29.1218,25.9285,28.4388,31.4785
3000,23.7373,22.3861,25.4912,26.4026,24.5331,20.0932,20.6149,20.0932,20.0932,20.0932,22.4765,20.0932,22.1788,24.2675
4000,18.7477,17.6873,19.8853,20.6187,18.9900,15.8489,16.1729,15.8489,15.8489,15.8489,17.6013,15.8489,17.5127,18.8685
5000,15.2742,13.8068,15.3438,15.8934,14.5586,12.4177,12.6259,12.4177,12.4177,12.4177,13.6421,12.4177,13.7016,14.5097
6000,11.4586,10.5050,11.5026,11.9221,10.8688,9.5425,9.6420,9.5425,9.5425,9.5425,10.3101,9.5425,10.4532,10.8993
7000,8.1979,7.6185,8.2213,8.5227,7.7456,6.9827,7.0603,6.9827,6.9827,6.9827,7.4538,6.9827,7.6554,7.8129
8000,5.3724,5.0681,5.3914,5.5370,5.0746,4.7252,4.7840,4.7252,4.7252,4.7252,4.9748,4.7252,5.1469,5.1517
9000,2.9220,2.8190,2.9263,3.0063,2.7783,2.6991,2.7334,2.6991,2.6991,2.6991,2.7947,2.6991,2.9571,2.8410
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
