ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,LRU-2,lru,CFLRU_0,2Q,S3fifo,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,30.6545,29.8100,31.7310,29.0020,29.1087,35.1005,28.5763,28.5763,30.7356,30.7988,28.9236,28.0095,27.7583,29.4006,32.4344
700,13.8404,13.3056,14.5623,14.0163,13.5253,16.4232,15.3293,15.3293,17.6496,12.8503,15.8592,14.7229,14.5850,15.9585,17.8221
800,13.0753,12.5052,13.7036,13.1336,12.8210,15.3975,14.3881,14.3881,16.6892,12.1917,14.8453,13.9508,13.8216,14.9610,16.7638
900,12.4181,11.8348,12.9831,12.3948,12.1577,14.5371,13.5379,13.5379,15.8369,11.6033,14.0212,13.2219,13.0853,14.0687,15.8915
1000,11.8581,11.4027,12.4020,11.7080,11.5407,13.7294,12.8009,12.8009,15.0250,11.0802,13.2621,12.5553,12.4144,13.2874,15.0511
2000,7.8417,7.7915,8.1360,7.1304,7.8366,8.4845,7.9198,7.9198,9.5934,7.5399,8.1864,8.0287,7.9169,8.3633,9.9269
3000,5.6398,5.4482,5.8229,4.9778,5.8099,6.2068,5.2200,5.2200,6.5547,5.7496,5.4180,5.5192,5.5424,5.8105,7.2591
4000,4.3623,4.3625,4.4289,4.1053,4.4892,5.0057,4.0145,4.0145,5.1594,4.6766,4.1437,4.3105,4.3674,4.3998,5.7433
5000,3.6069,3.6069,3.6269,3.4588,3.6474,4.1414,3.3561,3.3561,4.3728,3.9229,3.4828,3.5863,3.6305,3.5897,4.7056
6000,3.0611,3.0611,3.0785,2.9687,3.0714,3.4760,2.9063,2.9063,3.8005,3.3660,3.0203,3.0578,3.0887,3.0800,3.9646
7000,2.6363,2.6363,2.6506,2.5735,2.6438,2.9876,2.5644,2.5644,3.3371,2.9676,2.6834,2.6643,2.6941,2.7015,3.4591
8000,2.3306,2.3306,2.3379,2.2753,2.3488,2.6004,2.2909,2.2909,2.9908,2.6931,2.4091,2.3595,2.3914,2.4094,3.0277
9000,2.1067,2.1067,2.1146,2.0666,2.1264,2.3005,2.0970,2.0970,2.6737,2.5032,2.2002,2.1386,2.1618,2.1996,2.6858
10000,1.9463,1.9463,1.9520,1.9097,1.9585,2.0689,1.9466,1.9466,2.4555,2.3616,2.0385,1.9682,1.9831,2.0259,2.4143
11000,1.8290,1.8290,1.8312,1.8082,1.8485,1.9052,1.8277,1.8277,2.2369,2.2583,1.9137,1.8423,1.8534,1.8885,2.1770
12000,1.7441,1.7441,1.7427,1.7316,1.7626,1.7828,1.7400,1.7400,2.1166,2.1944,1.8130,1.7481,1.7588,1.7852,1.9976
13000,1.6863,1.6863,1.6856,1.6833,1.6992,1.6933,1.6807,1.6807,1.9779,2.1629,1.7490,1.6858,1.6948,1.7060,1.8536
14000,1.6449,1.6449,1.6449,1.6449,1.6524,1.6449,1.6420,1.6420,1.8395,2.1505,1.6934,1.6449,1.6480,1.6551,1.7340
15000,1.6218,1.6218,1.6218,1.6218,1.6228,1.6218,1.6208,1.6208,1.7240,2.1366,1.6473,1.6218,1.6230,1.6234,1.6528
16000,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6228,2.1246,1.6147,1.6129,1.6129,1.6131,1.6137
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,2.1141,1.6128,1.6128,1.6128,1.6128,1.6128
