ramSize,amclock_DW_HR_1,amclock_DW_HR_2,amclock_DW_HR_3,amclock_DW_HR_4,amclock_DW_HR_5,amclock_DW_HR_6,amclock_DW_HR_7,amclock_DW_HR_8,amclock_DW_HR_9,amclock_DW_HR_10,amclock_Final,amclock_WA
100,66.7914,72.2941,72.2016,72.1744,72.1644,72.1644,72.1644,72.1644,72.1644,72.1644,61.7684,61.7684
200,59.4216,64.3793,64.3095,64.3119,64.3119,64.3119,64.3119,64.3119,64.3119,64.3119,54.3120,54.3120
300,54.0764,59.2722,59.2231,59.2231,59.2231,59.2231,59.2231,59.2231,59.2231,59.2231,49.6815,49.6815
400,49.6841,55.4863,55.5058,55.5058,55.5058,55.5058,55.5058,55.5058,55.5058,55.5058,46.2954,46.2954
500,52.5351,52.4255,52.4478,52.4478,52.4478,52.4478,52.4478,52.4478,52.4478,52.4478,43.6341,43.6341
600,49.9572,49.8310,49.8310,49.8310,49.8310,49.8310,49.8310,49.8310,49.8310,49.8310,41.3873,41.3873
700,47.6497,47.5487,47.5487,47.5487,47.5487,47.5487,47.5487,47.5487,47.5487,47.5487,39.4487,39.4487
800,45.6207,45.5392,45.5392,45.5392,45.5392,45.5392,45.5392,45.5392,45.5392,45.5392,37.7661,37.7661
900,43.8109,43.8036,43.8036,43.8036,43.8036,43.8036,43.8036,43.8036,43.8036,43.8036,36.2585,36.2585
1000,42.1610,42.1688,42.1688,42.1688,42.1688,42.1688,42.1688,42.1688,42.1688,42.1688,34.9268,34.9268
2000,30.7313,30.7313,30.7313,30.7313,30.7313,30.7313,30.7313,30.7313,30.7313,30.7313,25.6109,25.6109
3000,23.3727,23.3727,23.3727,23.3727,23.3727,23.3727,23.3727,23.3727,23.3727,23.3727,19.9204,19.9204
4000,17.8888,17.8888,17.8888,17.8888,17.8888,17.8888,17.8888,17.8888,17.8888,17.8888,15.7399,15.7399
5000,13.7135,13.7135,13.7135,13.7135,13.7135,13.7135,13.7135,13.7135,13.7135,13.7135,12.3548,12.3548
6000,10.3026,10.3026,10.3026,10.3026,10.3026,10.3026,10.3026,10.3026,10.3026,10.3026,9.5255,9.5255
7000,7.4008,7.4008,7.4008,7.4008,7.4008,7.4008,7.4008,7.4008,7.4008,7.4008,6.9832,6.9832
8000,4.8846,4.8846,4.8846,4.8846,4.8846,4.8846,4.8846,4.8846,4.8846,4.8846,4.7252,4.7252
9000,2.7328,2.7328,2.7328,2.7328,2.7328,2.7328,2.7328,2.7328,2.7328,2.7328,2.6991,2.6991
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
