ramSize,amclock_epoch_4_,amclock_epoch_2_,amclock_epoch_1,amclock_epoch_2,amclock_epoch_3,amclock_epoch_4,amclock_epoch_5,amclock_epoch_6,amclock_epoch_7,amclock_epoch_8,amclock_epoch_16,amclock_epoch_24
100,30.6472,30.6639,30.6711,30.6545,30.6704,30.6686,30.6726,30.6705,30.6855,30.6730,30.6712,30.6724
700,13.7720,13.7985,13.8293,13.8404,13.8289,13.8270,13.8276,13.8242,13.8258,13.8268,13.8348,13.8391
800,12.9923,13.0320,13.0608,13.0753,13.0783,13.0809,13.0823,13.0850,13.0815,13.0755,13.0760,13.0900
900,12.3433,12.3605,12.4020,12.4181,12.4222,12.4273,12.4264,12.4322,12.4341,12.4284,12.4298,12.4416
1000,11.7838,11.7967,11.8470,11.8581,11.8689,11.8703,11.8731,11.8687,11.8714,11.8723,11.8754,11.8809
2000,7.6839,7.6783,7.7602,7.8417,7.8854,7.9054,7.9176,7.9268,7.9268,7.9282,7.9500,7.9451
3000,5.5752,5.5874,5.6083,5.6398,5.6882,5.7181,5.7408,5.7693,5.7807,5.8002,5.8375,5.8495
4000,4.3461,4.3418,4.3399,4.3623,4.3815,4.3836,4.3924,4.3874,4.4014,4.4043,4.4281,4.4384
5000,3.5554,3.5675,3.5929,3.6069,3.6126,3.6174,3.6180,3.6237,3.6247,3.6276,3.6402,3.6363
6000,3.0363,3.0384,3.0408,3.0611,3.0729,3.0843,3.0853,3.0883,3.0924,3.0916,3.0879,3.0957
7000,2.6309,2.6286,2.6303,2.6363,2.6454,2.6509,2.6592,2.6619,2.6646,2.6690,2.6688,2.6662
8000,2.3252,2.3252,2.3275,2.3306,2.3323,2.3364,2.3421,2.3410,2.3409,2.3439,2.3618,2.3626
9000,2.1104,2.1104,2.1103,2.1067,2.1071,2.1074,2.1044,2.1081,2.1074,2.1069,2.1145,2.1187
10000,1.9469,1.9469,1.9469,1.9463,1.9456,1.9448,1.9452,1.9460,1.9467,1.9477,1.9472,1.9496
11000,1.8290,1.8290,1.8290,1.8290,1.8281,1.8275,1.8274,1.8280,1.8280,1.8283,1.8274,1.8270
12000,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7444,1.7443,1.7442,1.7436,1.7436
13000,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6864
14000,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449
15000,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218
16000,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
