ramSize,amclock_action_1,amclock_action_2,amclock_action_3,amclock_action_4,amclock_action_5,amclock_action_6,amclock_action_7,amclock_action_8,amclock_action_9
100,30.4886,29.8017,30.3791,30.1386,30.5155,30.6795,30.5116,30.3664,30.6636
700,13.9026,13.9217,14.0697,13.9162,14.0021,14.0228,14.0972,13.9584,14.0436
800,13.0197,13.1024,13.1193,13.0451,13.2620,13.0807,13.0145,13.0175,13.0123
900,12.3885,12.5006,12.5341,12.6098,12.5043,12.5259,12.5740,12.5476,12.5477
1000,11.8544,11.8613,11.8456,11.9164,11.9262,11.9537,11.9567,11.9470,11.9578
2000,7.8751,7.9785,8.0531,7.9678,7.9478,7.9608,7.8171,8.0433,7.9640
3000,5.6855,5.7191,5.7091,5.7173,5.7432,5.7576,5.8031,5.8116,5.8176
4000,4.3508,4.3553,4.3810,4.4251,4.4350,4.4648,4.4857,4.5037,4.4283
5000,3.5758,3.5970,3.5893,3.6012,3.6096,3.6165,3.6186,3.6210,3.6213
6000,3.0398,3.0459,3.0583,3.0715,3.0789,3.0840,3.0931,3.1003,3.1020
7000,2.6277,2.6288,2.6266,2.6279,2.6308,2.6312,2.6320,2.6327,2.6348
8000,2.3306,2.3330,2.3387,2.3422,2.3459,2.3475,2.3489,2.3532,2.3534
9000,2.1067,2.1076,2.1085,2.1102,2.1107,2.1111,2.1121,2.1136,2.1143
10000,1.9463,1.9455,1.9456,1.9456,1.9456,1.9456,1.9456,1.9456,1.9456
11000,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290
12000,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441
13000,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863
14000,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449
15000,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218
16000,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
