ramSize,amclock_upLimit_1,amclock_upLimit_2,amclock_upLimit_4,amclock_upLimit_6,amclock_upLimit_8,amclock_upLimit_12,amclock_upLimit_16,amclock_upLimit_20,amclock_upLimit_24,amclock_upLimit_28,amclock_upLimit_32
100,27.6258,28.4711,29.6916,30.1755,30.4033,30.5734,30.6545,30.6971,30.7209,30.7787,30.8504
700,14.4706,14.2256,13.9968,13.8974,13.8342,13.7819,13.8404,13.9080,14.0043,14.0929,14.2150
800,13.6782,13.4092,13.1638,13.1174,13.0878,13.0489,13.0753,13.1102,13.1969,13.2650,13.3432
900,12.9735,12.6710,12.5067,12.4481,12.4583,12.4312,12.4181,12.4480,12.4943,12.5560,12.6148
1000,12.2859,12.0197,11.9602,11.8900,11.8592,11.8578,11.8581,11.8831,11.9035,11.9421,11.9813
2000,7.8973,7.8324,7.8309,7.8308,7.8571,7.8575,7.8417,7.8118,7.7915,7.7853,7.7644
3000,5.6024,5.6401,5.7017,5.7016,5.6815,5.6567,5.6398,5.6364,5.6351,5.6306,5.6295
4000,4.3364,4.3498,4.3578,4.3538,4.3503,4.3565,4.3623,4.3625,4.3625,4.3625,4.3625
5000,3.5380,3.5501,3.5840,3.5942,3.6013,3.6067,3.6069,3.6069,3.6069,3.6069,3.6069
6000,3.0244,3.0363,3.0458,3.0605,3.0611,3.0611,3.0611,3.0611,3.0611,3.0611,3.0611
7000,2.6351,2.6309,2.6346,2.6363,2.6363,2.6363,2.6363,2.6363,2.6363,2.6363,2.6363
8000,2.3316,2.3252,2.3290,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306
9000,2.1100,2.1104,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067
10000,1.9506,1.9469,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463
11000,1.8287,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290
12000,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441
13000,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863
14000,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449
15000,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218
16000,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
