ramSize,amclock_DW_upLimit_1,amclock_DW_upLimit_2,amclock_DW_upLimit_4,amclock_DW_upLimit_6,amclock_DW_upLimit_8,amclock_DW_upLimit_12,amclock_DW_upLimit_16,amclock_DW_upLimit_20,amclock_DW_upLimit_24,amclock_DW_upLimit_28,amclock_DW_upLimit_32
100,27.6152,27.6750,28.4644,28.8743,29.1507,29.3848,29.5856,29.7232,29.8389,29.9512,30.0520
700,14.1889,13.8418,13.4949,13.3956,13.3406,13.2783,13.3008,13.3083,13.4950,13.5095,13.5453
800,13.4323,13.0592,12.7204,12.6948,12.6156,12.4706,12.6633,12.6920,12.5821,12.9503,12.6643
900,12.7201,12.3563,12.1853,12.3433,12.1485,12.0388,11.9491,12.4469,12.2928,12.1734,12.2291
1000,12.1198,11.8046,11.7006,11.5883,11.6973,11.5261,11.6836,11.6874,11.5508,11.5025,11.5898
2000,7.8973,7.8324,7.8309,7.8308,7.8571,7.8575,7.8417,7.8118,7.7915,7.7853,7.7644
3000,5.6024,5.6401,5.7017,5.7016,5.6815,5.6567,5.6398,5.6364,5.6351,5.6306,5.6295
4000,4.3364,4.3498,4.3578,4.3538,4.3503,4.3565,4.3623,4.3625,4.3625,4.3625,4.3625
5000,3.5380,3.5501,3.5840,3.5942,3.6013,3.6067,3.6069,3.6069,3.6069,3.6069,3.6069
6000,3.0244,3.0363,3.0458,3.0605,3.0611,3.0611,3.0611,3.0611,3.0611,3.0611,3.0611
7000,2.6351,2.6309,2.6346,2.6363,2.6363,2.6363,2.6363,2.6363,2.6363,2.6363,2.6363
8000,2.3316,2.3252,2.3290,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306
9000,2.1100,2.1104,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067
10000,1.9506,1.9469,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463
11000,1.8287,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290
12000,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441
13000,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863
14000,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449
15000,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218
16000,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
