ramSize,amclock_DW_upLimit_1,amclock_DW_upLimit_2,amclock_DW_upLimit_4,amclock_DW_upLimit_6,amclock_DW_upLimit_8,amclock_DW_upLimit_12,amclock_DW_upLimit_16,amclock_DW_upLimit_20,amclock_DW_upLimit_24,amclock_DW_upLimit_28,amclock_DW_upLimit_32
100,48.9953,47.8456,47.0913,46.6170,46.3969,46.0530,45.8716,45.7033,45.6923,45.6659,45.5837
700,30.5281,29.3656,28.5009,27.9180,27.3714,27.4597,27.2677,27.2247,27.5689,27.3972,26.9071
800,29.3730,28.3169,27.2920,27.1469,26.5514,26.2852,26.0639,26.3055,25.9627,26.2627,26.2656
900,28.1209,27.1572,26.5937,26.2403,25.9168,25.1282,25.4124,25.0981,25.1167,25.3538,25.3406
1000,27.4133,26.3296,25.9133,25.1495,25.1182,24.8661,24.7636,24.6881,24.2796,24.2508,24.4741
2000,19.7012,19.3416,18.8881,18.7403,18.4599,18.3672,18.4669,18.3235,18.3127,18.3148,18.2153
3000,15.2517,14.6731,14.4650,14.3817,14.5165,14.5023,14.5100,14.5198,14.5240,14.4507,14.4668
4000,12.2146,12.0546,11.9072,11.8732,11.8585,11.8617,11.8152,11.8313,11.8314,11.8528,11.8568
5000,9.8215,9.6506,9.5785,9.5742,9.5954,9.6103,9.5592,9.5665,9.5657,9.5661,9.5663
6000,8.0039,7.7158,7.8367,7.8520,7.8590,7.8871,7.9022,7.9039,7.9042,7.9042,7.9042
7000,6.6932,6.4668,6.4100,6.4037,6.4348,6.3837,6.3826,6.3826,6.3826,6.3826,6.3826
8000,5.3550,5.2443,5.2204,5.2398,5.2424,5.2427,5.2427,5.2427,5.2427,5.2427,5.2427
9000,4.4827,4.3825,4.3404,4.3603,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500
10000,3.4657,3.4476,3.4975,3.4217,3.4217,3.4217,3.4217,3.4217,3.4217,3.4217,3.4217
11000,2.5819,2.6245,2.6426,2.6426,2.6426,2.6426,2.6426,2.6426,2.6426,2.6426,2.6426
12000,2.0342,2.0491,2.0592,2.0592,2.0592,2.0592,2.0592,2.0592,2.0592,2.0592,2.0592
13000,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768
14000,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769
15000,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446
16000,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264
17000,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262
