ramSize,amclock_DW_HR_1,amclock_DW_HR_2,amclock_DW_HR_3,amclock_DW_HR_4,amclock_DW_HR_5,amclock_DW_HR_6,amclock_DW_HR_7,amclock_DW_HR_8,amclock_DW_HR_9,amclock_DW_HR_10,amclock_Final,amclock_WA
100,29.8951,29.9109,29.8100,29.8389,29.7929,29.9238,29.9271,29.9996,30.0561,30.0734,30.6545,31.7310
700,13.6345,13.4208,13.3056,13.4950,13.4020,13.6036,14.0043,14.0043,14.0043,14.0043,13.8404,14.5623
800,12.7216,12.5932,12.5052,12.5821,12.9104,12.9164,13.1969,13.1969,13.1969,13.1969,13.0753,13.7036
900,11.9535,11.8321,11.8348,12.2928,12.3012,12.3012,12.3012,12.4943,12.4943,12.4943,12.4181,12.9831
1000,11.2618,11.1682,11.4027,11.5508,11.7127,11.9035,11.9035,11.9035,11.9035,11.9035,11.8581,12.4020
2000,7.3373,7.6231,7.7915,7.7915,7.7915,7.7915,7.7915,7.7915,7.7915,7.7915,7.8417,8.1360
3000,5.1246,5.3683,5.4482,5.6351,5.6351,5.6351,5.6351,5.6351,5.6351,5.6351,5.6398,5.8229
4000,4.2135,4.3625,4.3625,4.3625,4.3625,4.3625,4.3625,4.3625,4.3625,4.3625,4.3623,4.4289
5000,3.4603,3.6069,3.6069,3.6069,3.6069,3.6069,3.6069,3.6069,3.6069,3.6069,3.6069,3.6269
6000,3.0611,3.0611,3.0611,3.0611,3.0611,3.0611,3.0611,3.0611,3.0611,3.0611,3.0611,3.0785
7000,2.6363,2.6363,2.6363,2.6363,2.6363,2.6363,2.6363,2.6363,2.6363,2.6363,2.6363,2.6506
8000,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306,2.3379
9000,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1146
10000,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9520
11000,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8312
12000,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7427
13000,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6856
14000,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449
15000,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218
16000,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
