ramSize,amclock_DW_HR_1,amclock_DW_HR_2,amclock_DW_HR_3,amclock_DW_HR_4,amclock_DW_HR_5,amclock_DW_HR_6,amclock_DW_HR_7,amclock_DW_HR_8,amclock_DW_HR_9,amclock_DW_HR_10,amclock_Final,amclock_WA
100,47.8046,49.9258,49.8592,49.8768,49.8543,49.8516,49.8368,49.8343,49.8416,49.8468,48.4537,49.0420
700,27.8328,31.0076,31.0791,31.1459,31.2360,31.4589,31.4589,31.8185,31.6516,31.6516,29.6272,30.6523
800,26.1933,29.6792,29.7098,29.7646,29.9622,30.2482,30.2695,30.4971,30.7901,30.7901,28.4484,29.4976
900,25.5592,28.4422,28.5811,28.8745,28.9826,29.3509,29.3509,29.3509,29.3509,29.3509,27.4459,28.4963
1000,27.2816,27.4654,27.7499,27.7815,27.8196,27.8196,28.0841,28.0841,28.0841,28.0841,26.5711,27.5803
2000,19.9259,20.1920,20.1920,20.1920,20.1920,20.1920,20.1920,20.1920,20.1920,20.1920,20.0556,20.5298
3000,15.3004,15.4186,15.5718,15.5718,15.5718,15.5718,15.5718,15.5718,15.5718,15.5718,15.7465,16.0819
4000,12.0163,12.0163,12.0163,12.3364,12.3364,12.3364,12.3364,12.3364,12.3364,12.3364,12.8062,13.0739
5000,9.8460,9.8460,9.8460,9.8460,9.8460,9.8460,10.1266,10.1266,10.1266,10.1266,10.5501,10.7615
6000,7.8534,8.0256,8.0256,8.0256,8.0256,8.0256,8.0256,8.0256,8.3163,8.3163,8.7112,8.8909
7000,6.7393,6.7393,6.7393,6.7393,6.7393,6.7393,6.7393,6.7393,6.7393,6.7393,7.0765,7.3168
8000,5.3567,5.5537,5.5537,5.5537,5.5537,5.6397,5.6397,5.6397,5.6397,5.6397,5.7458,5.9145
9000,4.6483,4.6483,4.6483,4.7903,4.7903,4.7903,4.7903,4.7903,4.7903,4.7903,4.5379,4.6621
10000,3.6487,3.6487,3.6487,3.6487,3.6487,3.6487,3.6487,3.6487,3.6487,3.6487,3.5028,3.6042
11000,2.4658,2.4658,2.4658,2.4658,2.4658,2.4658,2.4658,2.4658,2.4658,2.4658,2.6426,2.7293
12000,2.0458,2.0458,2.0458,2.0458,2.0458,2.0458,2.0458,2.0458,2.0458,2.0458,2.0592,2.1167
13000,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7804
14000,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6852
15000,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446
16000,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264
17000,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262
