ramSize,amclock_DW_upLimit_1,amclock_DW_upLimit_2,amclock_DW_upLimit_4,amclock_DW_upLimit_6,amclock_DW_upLimit_8,amclock_DW_upLimit_12,amclock_DW_upLimit_16,amclock_DW_upLimit_20,amclock_DW_upLimit_24,amclock_DW_upLimit_28,amclock_DW_upLimit_32
100,70.7692,68.3018,65.7829,64.4666,63.5770,62.6120,62.0786,61.6580,61.3205,61.1244,61.1146
200,62.9270,60.3593,57.8965,56.6076,55.8327,54.8184,54.3120,53.9554,53.6608,53.4828,53.3127
300,57.8587,55.4176,53.0475,51.8223,51.0413,50.1915,49.6815,49.3710,49.1333,48.9415,48.7988
400,54.1596,51.6992,49.4219,48.2929,47.6061,46.7534,46.2954,45.9947,45.7752,45.6120,45.4952
500,51.1412,48.7480,46.5872,45.4666,44.8230,44.0806,43.6341,43.3334,43.1240,42.9847,42.8937
600,48.6104,46.2756,44.1703,43.1686,42.5497,41.8320,41.3873,41.1450,40.9415,40.8142,40.7121
700,46.4040,44.1575,42.1334,41.1592,40.5614,39.8644,39.4487,39.1826,39.0391,38.9037,38.8125
800,44.4800,42.2699,40.3312,39.3713,38.8058,38.1204,37.7661,37.5392,37.3582,37.2672,37.1838
900,42.7354,40.5585,38.6912,37.7602,37.2204,36.6096,36.2585,36.0686,35.9221,35.8165,35.7428
1000,41.1655,39.0523,37.1902,36.3472,35.8064,35.2506,34.9268,34.7211,34.5964,34.4980,34.4177
2000,30.0929,28.4416,27.1049,26.5242,26.1745,25.7984,25.6109,25.4753,25.4024,25.3507,25.3170
3000,23.0618,21.8016,20.8602,20.4396,20.2234,19.9937,19.9204,19.8742,19.8441,19.8210,19.8046
4000,17.8279,16.9430,16.2878,16.0318,15.9032,15.7566,15.7399,15.7167,15.7237,15.7190,15.7104
5000,13.6732,13.0762,12.6598,12.5026,12.4233,12.3608,12.3548,12.3653,12.3608,12.3656,12.3650
6000,10.2537,9.8843,9.6307,9.5526,9.5283,9.5191,9.5255,9.5287,9.5298,9.5302,9.5299
7000,7.3659,7.1568,7.0360,6.9907,6.9867,6.9827,6.9832,6.9827,6.9827,6.9827,6.9827
8000,4.8385,4.7747,4.7235,4.7222,4.7262,4.7252,4.7252,4.7252,4.7252,4.7252,4.7252
9000,2.7065,2.7025,2.6973,2.6991,2.6991,2.6991,2.6991,2.6991,2.6991,2.6991,2.6991
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
