ramSize,amclock_DW_upLimit_1,amclock_DW_upLimit_2,amclock_DW_upLimit_4,amclock_DW_upLimit_6,amclock_DW_upLimit_8,amclock_DW_upLimit_12,amclock_DW_upLimit_16,amclock_DW_upLimit_20,amclock_DW_upLimit_24,amclock_DW_upLimit_28,amclock_DW_upLimit_32
100,27.6152,27.5711,27.8207,28.1455,28.3542,28.7302,28.9112,29.0520,29.4111,29.3485,29.2061
700,14.1889,13.9952,13.7516,13.5509,13.5535,13.4703,13.3734,13.4043,13.4100,13.4110,13.4110
800,13.4323,13.1970,12.9403,12.8272,12.6826,12.5925,12.5719,12.6097,12.6138,12.6151,12.6151
900,12.7201,12.5062,12.2568,12.1916,12.0929,12.1390,12.1291,12.1271,12.1271,12.1271,12.1271
1000,12.1198,11.9486,11.8545,11.4524,11.5749,11.5749,11.5749,11.5749,11.5749,11.5749,11.5749
2000,7.8973,7.8812,7.9413,7.8608,7.8599,7.8599,7.8599,7.8599,7.8599,7.8599,7.8599
3000,5.6024,5.7292,5.7004,5.7119,5.6898,5.6855,5.6855,5.6855,5.6855,5.6855,5.6855
4000,4.3364,4.3498,4.3578,4.3506,4.3506,4.3506,4.3506,4.3506,4.3506,4.3506,4.3506
5000,3.5380,3.5501,3.5840,3.5758,3.5758,3.5758,3.5758,3.5758,3.5758,3.5758,3.5758
6000,3.0244,3.0363,3.0458,3.0398,3.0398,3.0398,3.0398,3.0398,3.0398,3.0398,3.0398
7000,2.6351,2.6309,2.6280,2.6280,2.6280,2.6280,2.6280,2.6280,2.6280,2.6280,2.6280
8000,2.3316,2.3252,2.3290,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306
9000,2.1100,2.1104,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067
10000,1.9506,1.9469,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463
11000,1.8287,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290
12000,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441
13000,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863
14000,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449
15000,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218
16000,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
