ramSize,amclock_epoch_4_,amclock_epoch_2_,amclock_epoch_1,amclock_epoch_2,amclock_epoch_3,amclock_epoch_4,amclock_epoch_5,amclock_epoch_6,amclock_epoch_7,amclock_epoch_8,amclock_epoch_16,amclock_epoch_24
100,61.7811,61.7696,61.7674,61.7684,61.7661,61.7654,61.7623,61.7622,61.7635,61.7623,61.7622,61.7620
200,54.3498,54.3415,54.3139,54.3120,54.3127,54.3112,54.3111,54.3111,54.3108,54.3100,54.3086,54.3090
300,49.7410,49.7046,49.6884,49.6815,49.6770,49.6868,49.6830,49.6734,49.6742,49.6742,49.6873,49.6792
400,46.3774,46.3333,46.3032,46.2954,46.2906,46.2911,46.2926,46.2880,46.2885,46.2871,46.2869,46.2840
500,43.7434,43.6710,43.6437,43.6341,43.6256,43.6123,43.6219,43.6207,43.6215,43.6195,43.6217,43.6223
600,41.5153,41.4480,41.4106,41.3873,41.3896,41.3859,41.3956,41.3880,41.3866,41.3909,41.3933,41.3931
700,39.5520,39.5013,39.4767,39.4487,39.4475,39.4406,39.4407,39.4381,39.4404,39.4342,39.4284,39.4311
800,37.9181,37.8429,37.7959,37.7661,37.7586,37.7617,37.7685,37.7661,37.7607,37.7590,37.7584,37.7563
900,36.4381,36.3623,36.2793,36.2585,36.2529,36.2569,36.2533,36.2548,36.2606,36.2532,36.2557,36.2550
1000,35.1155,35.0074,34.9629,34.9268,34.9322,34.9341,34.9291,34.9242,34.9200,34.9201,34.9166,34.9196
2000,25.9939,25.7776,25.6530,25.6109,25.5798,25.5862,25.5899,25.5921,25.5906,25.5887,25.5828,25.5862
3000,20.3799,20.1057,19.9749,19.9204,19.9075,19.8919,19.8943,19.9094,19.9126,19.9071,19.8981,19.8939
4000,16.1927,15.9588,15.7945,15.7399,15.7315,15.7154,15.7136,15.7079,15.7085,15.7016,15.7097,15.7006
5000,12.7313,12.5559,12.4308,12.3548,12.3332,12.3315,12.3291,12.3284,12.3336,12.3418,12.3385,12.3491
6000,9.7648,9.6477,9.5545,9.5255,9.4991,9.4843,9.4834,9.4798,9.4769,9.4719,9.4745,9.4910
7000,7.1225,7.0677,7.0232,6.9832,6.9695,6.9708,6.9786,6.9747,6.9773,6.9855,6.9770,6.9850
8000,4.7741,4.7575,4.7319,4.7252,4.7070,4.7074,4.7044,4.7135,4.7151,4.7177,4.7271,4.7332
9000,2.7025,2.7025,2.6976,2.6991,2.6936,2.6962,2.7014,2.6923,2.6956,2.6951,2.6929,2.6950
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
