ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,64.0497,61.8196,0.0000,0.0000,0.0000,0.0000,73.7637,74.9238,72.9899,0.0000,0.0000,0.0000
200,56.7784,55.5854,0.0000,0.0000,0.0000,0.0000,65.9916,67.1889,65.2322,0.0000,0.0000,0.0000
300,52.3299,51.3432,0.0000,0.0000,0.0000,0.0000,61.1185,62.3078,60.3178,0.0000,0.0000,0.0000
400,49.0049,48.1392,0.0000,0.0000,0.0000,0.0000,57.3688,58.5543,56.5951,0.0000,0.0000,0.0000
500,46.4064,45.5840,0.0000,0.0000,0.0000,0.0000,54.3570,55.5647,53.5939,0.0000,0.0000,0.0000
600,44.2607,43.4392,0.0000,0.0000,0.0000,0.0000,51.8203,52.9728,51.0606,0.0000,0.0000,0.0000
700,42.4008,41.5731,0.0000,0.0000,0.0000,0.0000,49.6101,50.8281,48.8356,0.0000,0.0000,0.0000
800,40.7147,39.3673,0.0000,0.0000,0.0000,0.0000,47.6779,48.8877,46.8755,0.0000,0.0000,0.0000
900,39.2371,38.5532,0.0000,0.0000,0.0000,0.0000,45.9152,47.1084,45.1400,0.0000,0.0000,0.0000
1000,37.9378,37.2287,0.0000,0.0000,0.0000,0.0000,44.3152,45.5111,43.5521,0.0000,0.0000,0.0000
2000,28.5812,28.0990,0.0000,0.0000,0.0000,0.0000,32.9800,34.0110,32.2950,0.0000,0.0000,0.0000
3000,22.5251,22.2368,0.0000,0.0000,0.0000,0.0000,25.5375,26.4372,24.9359,0.0000,0.0000,0.0000
4000,17.9775,17.7853,0.0000,0.0000,0.0000,0.0000,19.9354,20.6663,19.4049,0.0000,0.0000,0.0000
5000,14.1717,13.9968,0.0000,0.0000,0.0000,0.0000,15.4055,15.9310,14.9461,0.0000,0.0000,0.0000
6000,10.8424,10.7071,0.0000,0.0000,0.0000,0.0000,11.5875,11.9994,11.2090,0.0000,0.0000,0.0000
7000,7.8496,7.7518,0.0000,0.0000,0.0000,0.0000,8.3038,8.6087,8.0449,0.0000,0.0000,0.0000
8000,5.2108,5.1811,0.0000,0.0000,0.0000,0.0000,5.4710,5.5990,5.2992,0.0000,0.0000,0.0000
9000,2.8795,2.8795,0.0000,0.0000,0.0000,0.0000,2.9804,3.0528,2.9258,0.0000,0.0000,0.0000
10000,1.0019,1.0019,0.0000,0.0000,0.0000,0.0000,1.0014,1.0011,1.0013,0.0000,0.0000,0.0000
11000,1.0001,1.0001,0.0000,0.0000,0.0000,0.0000,1.0001,1.0001,1.0001,0.0000,0.0000,0.0000
