ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,61.7684,62.4570,0.0000,0.0000,0.0000,0.0000,73.8311,74.9891,72.9482,0.0000,0.0000,0.0000
200,54.3120,53.8684,0.0000,0.0000,0.0000,0.0000,66.0753,67.2661,65.1531,0.0000,0.0000,0.0000
300,49.6815,49.1333,0.0000,0.0000,0.0000,0.0000,61.1268,62.3324,60.1563,0.0000,0.0000,0.0000
400,46.2954,45.7752,0.0000,0.0000,0.0000,0.0000,57.3957,58.5941,56.4000,0.0000,0.0000,0.0000
500,43.6341,43.1240,0.0000,0.0000,0.0000,0.0000,54.3869,55.5921,53.3784,0.0000,0.0000,0.0000
600,41.3873,40.9415,0.0000,0.0000,0.0000,0.0000,51.8449,53.0244,50.8200,0.0000,0.0000,0.0000
700,39.4487,39.0391,0.0000,0.0000,0.0000,0.0000,49.6235,50.8429,48.5986,0.0000,0.0000,0.0000
800,37.7661,37.3582,0.0000,0.0000,0.0000,0.0000,47.6749,48.8741,46.6411,0.0000,0.0000,0.0000
900,36.2585,35.9221,0.0000,0.0000,0.0000,0.0000,45.9120,47.1037,44.8846,0.0000,0.0000,0.0000
1000,34.9268,34.5964,0.0000,0.0000,0.0000,0.0000,44.3045,45.4824,43.2714,0.0000,0.0000,0.0000
2000,25.6109,25.4024,0.0000,0.0000,0.0000,0.0000,32.9349,33.9581,31.9151,0.0000,0.0000,0.0000
3000,19.9204,19.8441,0.0000,0.0000,0.0000,0.0000,25.4912,26.4026,24.5331,0.0000,0.0000,0.0000
4000,15.7399,15.7237,0.0000,0.0000,0.0000,0.0000,19.8853,20.6187,18.9900,0.0000,0.0000,0.0000
5000,12.3548,12.3608,0.0000,0.0000,0.0000,0.0000,15.3438,15.8934,14.5586,0.0000,0.0000,0.0000
6000,9.5255,9.5298,0.0000,0.0000,0.0000,0.0000,11.5026,11.9221,10.8688,0.0000,0.0000,0.0000
7000,6.9832,6.9827,0.0000,0.0000,0.0000,0.0000,8.2213,8.5227,7.7456,0.0000,0.0000,0.0000
8000,4.7252,4.7252,0.0000,0.0000,0.0000,0.0000,5.3914,5.5370,5.0746,0.0000,0.0000,0.0000
9000,2.6991,2.6991,0.0000,0.0000,0.0000,0.0000,2.9263,3.0063,2.7783,0.0000,0.0000,0.0000
10000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000
