ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,64.0497,62.4976,0.0000,62.4112,65.5536,63.8935,73.7637,74.9238,72.9899,71.5613,74.9576,77.4083
200,56.7784,56.2712,0.0000,55.4422,58.0320,56.8392,65.9916,67.1889,65.2322,63.7802,67.2647,70.1268
300,52.3299,49.6081,0.0000,51.2934,53.3033,52.4353,61.1185,62.3078,60.3178,58.9325,62.3835,65.3884
400,49.0049,46.3155,0.0000,48.2247,49.9017,49.2718,57.3688,58.5543,56.5951,55.2166,58.6725,61.7971
500,46.4064,43.6938,0.0000,45.7565,47.1706,46.7269,54.3570,55.5647,53.5939,52.2580,55.6939,58.8640
600,44.2607,41.5542,0.0000,43.7127,44.9501,44.5661,51.8203,52.9728,51.0606,49.7130,53.1397,56.4259
700,42.4008,39.6706,0.0000,41.9764,42.9714,42.7174,49.6101,50.8281,48.8356,47.5140,50.9825,54.3061
800,40.7147,38.0048,0.0000,40.4495,41.2515,41.0603,47.6779,48.8877,46.8755,45.6052,48.9929,52.3363
900,39.2371,36.5579,0.0000,39.0339,39.7280,39.5723,45.9152,47.1084,45.1400,43.9056,47.2324,50.5182
1000,37.9378,35.2356,0.0000,37.7868,38.3972,38.2081,44.3152,45.5111,43.5521,42.3378,45.6044,48.9942
2000,28.5812,26.2687,0.0000,29.1955,28.7173,28.6807,32.9800,34.0110,32.2950,31.3175,34.1567,37.3917
3000,22.5251,20.8203,0.0000,23.8152,22.6364,22.5485,25.5375,26.4372,24.9359,24.2157,26.6415,29.7142
4000,17.9775,16.6513,0.0000,18.8438,17.9343,17.8496,19.9354,20.6663,19.4049,18.8682,20.9031,23.7131
5000,14.1717,13.2307,0.0000,15.3354,14.1570,14.0002,15.4055,15.9310,14.9461,14.6035,16.1571,18.6938
6000,10.8424,10.2333,0.0000,11.5435,10.8619,10.6753,11.5875,11.9994,11.2090,11.0061,12.1908,14.3432
7000,7.8496,7.5505,0.0000,8.2802,7.9895,7.7849,8.3038,8.6087,8.0449,7.9436,8.7499,10.4970
8000,5.2108,5.1172,0.0000,5.4519,5.4200,5.1960,5.4710,5.5990,5.2992,5.2642,5.6933,6.9504
9000,2.8795,2.8795,0.0000,2.9762,3.1227,2.8886,2.9804,3.0528,2.9258,2.9498,3.0892,3.7402
10000,1.0019,1.0019,0.0000,1.0014,1.0012,1.0014,1.0014,1.0011,1.0013,1.0012,1.0011,1.0019
11000,1.0001,1.0001,0.0000,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001
