ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,26.1350,26.6145,0.0000,27.3349,28.9892,27.6549,34.3139,35.5006,33.3258,32.2537,35.6303,39.5901
200,20.6235,20.4341,0.0000,21.7427,23.0338,21.9730,27.1849,28.1671,26.3597,25.4912,28.2721,31.7709
300,17.6714,17.4708,0.0000,18.7581,19.8608,18.9643,23.4685,24.2909,22.7147,21.9439,24.4376,27.5969
400,15.7798,15.6148,0.0000,16.7940,17.7678,16.9414,20.9892,21.7514,20.2742,19.5987,21.8780,24.8250
500,14.3869,14.2215,0.0000,15.3705,16.2054,15.4788,19.1427,19.8666,18.5000,17.8346,19.9826,22.7695
600,13.2689,13.1270,0.0000,14.2536,14.9610,14.3445,17.6917,18.3702,17.0749,16.4692,18.4810,21.1180
700,12.3479,12.2408,0.0000,13.3560,13.9636,13.4073,16.4995,17.1527,15.9136,15.3254,17.2631,19.7759
800,11.6134,11.5040,0.0000,12.6093,13.1528,12.6034,15.4869,16.1012,14.9180,14.3757,16.1722,18.6329
900,10.9727,10.8733,0.0000,11.9574,12.4309,11.9220,14.6233,15.2298,14.0684,13.5645,15.2910,17.7025
1000,10.4059,10.3243,0.0000,11.3856,11.8204,11.3251,13.8660,14.4304,13.3339,12.8513,14.5150,16.7847
2000,7.0190,6.9992,0.0000,7.9301,7.9226,7.6389,9.1473,9.5572,8.7522,8.4315,9.6381,11.4198
3000,5.3106,5.3055,0.0000,6.1361,5.8493,5.6951,6.6711,6.9846,6.3596,6.1381,7.0381,8.4917
4000,4.1530,4.1532,0.0000,4.6970,4.5292,4.3937,5.0438,5.2746,4.8061,4.6667,5.3212,6.4532
5000,3.2875,3.2875,0.0000,3.7542,3.5384,3.4293,3.8472,4.0257,3.6648,3.5810,4.0575,4.9773
6000,2.5951,2.5951,0.0000,2.8600,2.7415,2.6759,2.9155,3.0610,2.7864,2.7340,3.0784,3.8133
7000,2.0211,2.0211,0.0000,2.1496,2.1112,2.0553,2.1910,2.2838,2.1136,2.0939,2.2990,2.8266
8000,1.5574,1.5574,0.0000,1.6056,1.6208,1.5736,1.6260,1.6928,1.5813,1.5850,1.6829,1.9957
9000,1.1910,1.1910,0.0000,1.2006,1.2162,1.1927,1.2055,1.2430,1.1968,1.1928,1.2328,1.3669
10000,0.9940,0.9940,0.0000,0.9940,0.9940,0.9940,0.9940,0.9940,0.9940,0.9940,0.9940,0.9940
