ramSize,amclock_Final,amclock_WA,amclock_DW,arc,WATT,lru_k2_z-1,lru,clock,clocksweep,hyperbolic20,lean30_2,lrfu0.8,random
100,48.4537,49.0420,45.6923,45.5602,47.1662,49.3270,50.9543,51.7096,50.4791,49.6433,51.9630,0.0000,54.7185
700,29.6272,30.6523,27.5689,27.9787,28.5969,29.5166,32.4728,33.3386,32.6681,31.7575,33.4697,0.0000,35.9842
800,28.4484,29.4976,25.9627,26.7983,27.4157,28.2243,31.0147,31.8366,31.3248,30.4356,31.9571,0.0000,34.5073
900,27.4459,28.4963,25.1167,25.7624,26.4111,27.0883,29.7314,30.5464,30.0554,29.2316,30.6551,0.0000,33.1770
1000,26.5711,27.5803,24.2796,24.8440,25.4479,26.0485,28.5240,29.3774,28.8791,28.1242,29.4788,0.0000,32.0032
2000,20.0556,20.5298,18.3127,18.5243,19.3183,18.9765,20.6310,21.2430,21.0338,20.3605,21.4737,0.0000,23.8694
3000,15.7465,16.0819,14.5240,14.8275,15.5667,14.9292,15.6481,16.1947,16.2798,15.7271,16.5418,0.0000,18.8639
4000,12.8062,13.0739,11.8314,11.9548,12.8448,12.1270,12.3318,12.7463,13.1046,12.6935,13.0428,0.0000,15.1405
5000,10.5501,10.7615,9.5657,9.5844,10.5829,9.9334,9.8277,10.1394,10.7094,10.3717,10.4044,0.0000,12.3560
6000,8.7112,8.8909,7.9042,7.8626,8.6256,8.0974,7.7751,8.0190,8.6529,8.4275,8.2826,0.0000,10.0119
7000,7.0765,7.3168,6.3826,6.1256,6.9893,6.5610,6.0674,6.2586,6.9647,6.7683,6.4981,0.0000,8.1015
8000,5.7458,5.9145,5.2427,4.7100,5.5972,5.2140,4.6469,4.7806,5.5482,5.4141,5.0674,0.0000,6.5972
9000,4.5379,4.6621,4.3500,3.5311,4.3989,4.1012,3.4715,3.5799,4.2758,4.2225,3.8946,0.0000,5.3394
10000,3.5028,3.6042,3.4217,2.7314,3.4324,3.3565,2.6905,2.8293,3.2362,3.2337,3.0729,0.0000,4.4316
11000,2.6426,2.7293,2.6426,2.4041,2.7399,2.7680,2.4245,2.6990,2.4616,2.5120,2.5577,0.0000,3.6954
12000,2.0592,2.1167,2.0592,2.1026,2.2309,2.2097,2.1952,2.4634,2.0478,2.0997,2.2622,0.0000,3.1011
13000,1.7768,1.7804,1.7768,1.7767,1.9948,1.7632,1.9597,2.0693,1.8215,1.8681,2.0441,0.0000,2.5873
14000,1.6769,1.6852,1.6769,1.6733,1.7500,1.6798,1.6693,1.7218,1.6895,1.7233,1.8644,0.0000,2.1412
15000,1.6446,1.6446,1.6446,1.6446,1.7420,1.6446,1.6388,1.7579,1.6446,1.6516,1.7037,0.0000,1.8763
16000,1.6264,1.6264,1.6264,1.6264,1.6416,1.6264,1.6264,1.6524,1.6264,1.6281,1.6267,0.0000,1.6667
17000,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,0.0000,1.6262
