ramSize,amclock_Final,amclock_WA,amclock_DW,arc,WATT,lru_k2_z-1,lru,clock,clocksweep,hyperbolic20,lean30_2,lrfu0.8,random
100,61.7684,61.7684,61.3205,62.3534,65.5634,63.8790,73.8311,74.9891,72.9482,71.4939,75.0430,0.0000,77.4755
200,54.3120,54.3120,53.6608,55.4438,57.9693,56.8642,66.0753,67.2661,65.1531,63.6965,67.3082,0.0000,70.1230
300,49.6815,49.6815,49.1333,51.2440,53.3104,52.4653,61.1268,62.3324,60.1563,58.6973,62.4028,0.0000,65.4217
400,46.2954,46.2954,45.7752,48.1666,49.8488,49.2715,57.3957,58.5941,56.4000,54.9618,58.6946,0.0000,61.8364
500,43.6341,43.6341,43.1240,45.7001,47.1016,46.7173,54.3869,55.5921,53.3784,51.9893,55.7017,0.0000,58.9019
600,41.3873,41.3873,40.9415,43.6471,44.8422,44.5371,51.8449,53.0244,50.8200,49.4292,53.1683,0.0000,56.4718
700,39.4487,39.4487,39.0391,41.9058,42.8590,42.6761,49.6235,50.8429,48.5986,47.2380,50.9272,0.0000,54.1857
800,37.7661,37.7661,37.3582,40.3740,41.1369,41.0202,47.6749,48.8741,46.6411,45.3022,49.0449,0.0000,52.3243
900,36.2585,36.2585,35.9221,38.9678,39.6079,39.5300,45.9120,47.1037,44.8846,43.5893,47.2383,0.0000,50.5387
1000,34.9268,34.9268,34.5964,37.7060,38.2076,38.1685,44.3045,45.4824,43.2714,42.0019,45.6198,0.0000,48.9555
2000,25.6109,25.6109,25.4024,29.0927,28.4388,28.5730,32.9349,33.9581,31.9151,30.8792,34.1557,0.0000,37.3792
3000,19.9204,19.9204,19.8441,23.7373,22.1788,22.3861,25.4912,26.4026,24.5331,23.7378,26.5686,0.0000,29.5755
4000,15.7399,15.7399,15.7237,18.7477,17.5127,17.6873,19.8853,20.6187,18.9900,18.4152,20.7764,0.0000,23.6161
5000,12.3548,12.3548,12.3608,15.2742,13.7016,13.8068,15.3438,15.8934,14.5586,14.1556,16.1130,0.0000,18.5994
6000,9.5255,9.5255,9.5298,11.4586,10.4532,10.5050,11.5026,11.9221,10.8688,10.6293,12.0867,0.0000,14.2973
7000,6.9832,6.9832,6.9827,8.1979,7.6554,7.6185,8.2213,8.5227,7.7456,7.6256,8.6331,0.0000,10.3837
8000,4.7252,4.7252,4.7252,5.3724,5.1469,5.0681,5.3914,5.5370,5.0746,5.0354,5.6476,0.0000,6.9427
9000,2.6991,2.6991,2.6991,2.9220,2.9571,2.8190,2.9263,3.0063,2.7783,2.8021,3.0687,0.0000,3.7445
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000
