ramSize,amclock_Final,amclock_WA,amclock_DW,arc,WATT,lru_k2_z-1,lru,clock,clocksweep,hyperbolic20,lean30_2,lrfu0.8,random
100,63.7296,63.7296,63.4281,64.1087,67.3418,65.6876,75.1634,76.2558,74.3184,72.9741,76.2984,0.0000,78.6430
200,56.5461,56.5461,56.5535,57.5001,60.1500,59.0369,67.8834,68.9767,66.9702,65.6701,69.0806,0.0000,71.8234
300,52.1068,52.1068,52.3393,53.4616,55.6128,54.8632,63.2830,64.3724,62.2849,61.0189,64.5171,0.0000,67.3795
400,48.8383,48.8383,49.2553,50.5261,52.2806,51.8139,59.8388,60.8973,58.7610,57.5714,61.0104,0.0000,63.9698
500,46.2576,46.2576,47.1365,48.1701,49.6199,49.3791,57.0697,58.1313,55.9054,54.8077,58.2211,0.0000,61.1854
600,44.0672,44.0672,45.2750,46.2245,47.4490,47.2984,54.6684,55.7447,53.4939,52.4526,55.8076,0.0000,58.8155
700,42.1819,42.1819,43.4212,44.5482,45.5110,45.5057,52.5291,53.6569,51.3743,50.3530,53.7495,0.0000,56.7132
800,40.5290,40.5290,42.1325,43.0669,43.8692,43.9090,50.6390,51.7905,49.4988,48.5010,51.8243,0.0000,54.8838
900,39.0470,39.0470,40.8273,41.7329,42.3687,42.4538,48.9350,50.0974,47.7957,46.8060,50.1276,0.0000,53.2142
1000,37.7436,37.7436,39.7574,40.5255,41.0047,41.1308,47.3718,48.5127,46.2450,45.2541,48.5788,0.0000,51.6391
2000,28.4171,28.4171,29.5750,32.0271,31.3064,31.6365,36.0420,37.0795,34.9976,34.0703,37.2096,0.0000,40.3293
3000,22.5232,22.5232,22.4138,26.6007,24.9532,25.3136,28.4363,29.3065,27.4297,26.6632,29.5197,0.0000,32.4763
4000,18.0551,18.0551,18.0217,21.3920,20.0346,20.3418,22.5541,23.3002,21.6356,21.0128,23.4885,0.0000,26.2879
5000,14.3880,14.3880,14.3836,17.6180,15.9421,16.1668,17.6726,18.2090,16.8642,16.4358,18.4556,0.0000,20.9520
6000,11.1661,11.1661,11.1794,13.4560,12.2958,12.5325,13.4859,13.9069,12.8029,12.5286,14.1102,0.0000,16.2336
7000,8.3175,8.3175,8.3150,9.7890,9.1273,9.2289,9.8104,10.0660,9.2554,9.1690,10.2458,0.0000,11.9510
8000,5.6646,5.6646,5.6646,6.5352,6.1913,6.2456,6.5434,6.7106,6.1805,6.1402,6.7884,0.0000,7.9814
9000,3.2158,3.2158,3.2158,3.5902,3.4962,3.5241,3.5905,3.6383,3.4050,3.4015,3.6777,0.0000,4.3504
10000,0.9561,0.9561,0.9561,0.9862,0.9551,0.9580,0.9918,0.9570,0.9573,0.9549,0.9568,0.0000,0.9553
11000,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.0000,0.9525
