ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,26.8617,28.3657,26.8617,0.0000,0.0000,0.0000,34.3139,35.5006,33.3258,0.0000,0.0000,0.0000
200,21.2750,21.8858,21.2750,0.0000,0.0000,0.0000,27.1849,28.1671,26.3597,0.0000,0.0000,0.0000
300,18.3794,18.3644,18.3794,0.0000,0.0000,0.0000,23.4685,24.2909,22.7147,0.0000,0.0000,0.0000
400,16.2455,16.3771,16.2455,0.0000,0.0000,0.0000,20.9892,21.7514,20.2742,0.0000,0.0000,0.0000
500,15.3731,15.3354,15.3731,0.0000,0.0000,0.0000,19.1427,19.8666,18.5000,0.0000,0.0000,0.0000
600,13.4953,14.1090,13.4953,0.0000,0.0000,0.0000,17.6917,18.3702,17.0749,0.0000,0.0000,0.0000
700,13.2521,12.9127,13.2521,0.0000,0.0000,0.0000,16.4995,17.1527,15.9136,0.0000,0.0000,0.0000
800,12.6127,12.5439,12.6127,0.0000,0.0000,0.0000,15.4869,16.1012,14.9180,0.0000,0.0000,0.0000
900,11.8271,12.1008,11.8271,0.0000,0.0000,0.0000,14.6233,15.2298,14.0684,0.0000,0.0000,0.0000
1000,10.6156,10.6163,10.6156,0.0000,0.0000,0.0000,13.8660,14.4304,13.3339,0.0000,0.0000,0.0000
2000,7.2803,7.2830,7.2803,0.0000,0.0000,0.0000,9.1473,9.5572,8.7522,0.0000,0.0000,0.0000
3000,5.6796,5.6875,5.6796,0.0000,0.0000,0.0000,6.6711,6.9846,6.3596,0.0000,0.0000,0.0000
4000,4.2125,4.2125,4.2125,0.0000,0.0000,0.0000,5.0438,5.2746,4.8061,0.0000,0.0000,0.0000
5000,3.2940,3.2940,3.2940,0.0000,0.0000,0.0000,3.8472,4.0257,3.6648,0.0000,0.0000,0.0000
6000,2.5951,2.5951,2.5951,0.0000,0.0000,0.0000,2.9155,3.0610,2.7864,0.0000,0.0000,0.0000
7000,2.0211,2.0211,2.0211,0.0000,0.0000,0.0000,2.1910,2.2838,2.1136,0.0000,0.0000,0.0000
8000,1.5574,1.5574,1.5574,0.0000,0.0000,0.0000,1.6260,1.6928,1.5813,0.0000,0.0000,0.0000
9000,1.1910,1.1910,1.1910,0.0000,0.0000,0.0000,1.2055,1.2430,1.1968,0.0000,0.0000,0.0000
10000,0.9940,0.9940,0.9940,0.0000,0.0000,0.0000,0.9940,0.9940,0.9940,0.0000,0.0000,0.0000
