ramSize,amclock_DW,amclock_Final,amclock_WA,arc,WATT,lru_k2_z-1,lru,clock,clocksweep,hyperbolic20
100,29.0520,30.6545,31.7310,29.0020,29.1087,35.1005,28.5763,28.9236,28.0095,27.7583
700,13.4043,13.8404,14.5623,14.0163,13.5253,16.4232,15.3293,15.8592,14.7229,14.5850
800,12.6097,13.0753,13.7036,13.1336,12.8210,15.3975,14.3881,14.8453,13.9508,13.8216
900,12.1271,12.4181,12.9831,12.3948,12.1577,14.5371,13.5379,14.0212,13.2219,13.0853
1000,11.5749,11.8581,12.4020,11.7080,11.5407,13.7294,12.8009,13.2621,12.5553,12.4144
2000,7.8599,7.8417,8.1360,7.1304,7.8366,8.4845,7.9198,8.1864,8.0287,7.9169
3000,5.6855,5.6398,5.8229,4.9778,5.8099,6.2068,5.2200,5.4180,5.5192,5.5424
4000,4.3506,4.3623,4.4289,4.1053,4.4892,5.0057,4.0145,4.1437,4.3105,4.3674
5000,3.5758,3.6069,3.6269,3.4588,3.6474,4.1414,3.3561,3.4828,3.5863,3.6305
6000,3.0398,3.0611,3.0785,2.9687,3.0714,3.4760,2.9063,3.0203,3.0578,3.0887
7000,2.6280,2.6363,2.6506,2.5735,2.6438,2.9876,2.5644,2.6834,2.6643,2.6941
8000,2.3306,2.3306,2.3379,2.2753,2.3488,2.6004,2.2909,2.4091,2.3595,2.3914
9000,2.1067,2.1067,2.1146,2.0666,2.1264,2.3005,2.0970,2.2002,2.1386,2.1618
10000,1.9463,1.9463,1.9520,1.9097,1.9585,2.0689,1.9466,2.0385,1.9682,1.9831
11000,1.8290,1.8290,1.8312,1.8082,1.8485,1.9052,1.8277,1.9137,1.8423,1.8534
12000,1.7441,1.7441,1.7427,1.7316,1.7626,1.7828,1.7400,1.8130,1.7481,1.7588
13000,1.6863,1.6863,1.6856,1.6833,1.6992,1.6933,1.6807,1.7490,1.6858,1.6948
14000,1.6449,1.6449,1.6449,1.6449,1.6524,1.6449,1.6420,1.6934,1.6449,1.6480
15000,1.6218,1.6218,1.6218,1.6218,1.6228,1.6218,1.6208,1.6473,1.6218,1.6230
16000,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6147,1.6129,1.6129
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
