ramSize,amclock_DW_HR_1,amclock_DW_HR_2,amclock_DW_HR_3,amclock_DW_HR_4,amclock_DW_HR_5,amclock_DW_HR_6,amclock_DW_HR_7,amclock_DW_HR_8,amclock_DW_HR_9,amclock_DW_HR_10,amclock_Final,amclock_WA
100,30.0033,28.0516,28.0029,27.9813,27.9599,27.9047,27.8740,27.8543,27.8842,27.8949,30.6545,31.7310
700,13.9216,14.4386,14.4396,14.4916,14.5276,14.5805,14.5819,14.5840,14.6555,14.6555,13.8404,14.5623
800,12.9270,13.5918,13.5978,13.6783,13.7816,13.8239,13.9026,13.9020,13.9020,13.9020,13.0753,13.7036
900,12.0937,12.8276,12.8637,12.9278,12.9806,13.2070,13.2070,13.2070,13.2070,13.2070,12.4181,12.9831
1000,12.0323,12.0752,12.2570,12.2982,12.3987,12.4084,12.4885,12.4885,12.4885,12.4885,11.8581,12.4020
2000,7.6619,7.8469,7.9760,7.9760,7.9760,7.9760,7.9760,7.9760,7.9760,7.9760,7.8417,8.1360
3000,5.6100,5.6100,5.6100,5.6100,5.6100,5.6100,5.6100,5.6100,5.6100,5.6100,5.6398,5.8229
4000,4.3411,4.3411,4.3411,4.3411,4.3411,4.3411,4.3411,4.3411,4.3411,4.3411,4.3623,4.4289
5000,3.5506,3.5506,3.5506,3.5506,3.5506,3.5506,3.5506,3.5506,3.5506,3.5506,3.6069,3.6269
6000,3.0284,3.0284,3.0284,3.0284,3.0284,3.0284,3.0284,3.0284,3.0284,3.0284,3.0611,3.0785
7000,2.6362,2.6362,2.6362,2.6362,2.6362,2.6362,2.6362,2.6362,2.6362,2.6362,2.6363,2.6506
8000,2.3368,2.3368,2.3368,2.3368,2.3368,2.3368,2.3368,2.3368,2.3368,2.3368,2.3306,2.3379
9000,2.1265,2.1265,2.1265,2.1265,2.1265,2.1265,2.1265,2.1265,2.1265,2.1265,2.1067,2.1146
10000,1.9632,1.9632,1.9632,1.9632,1.9632,1.9632,1.9632,1.9632,1.9632,1.9632,1.9463,1.9520
11000,1.8317,1.8317,1.8317,1.8317,1.8317,1.8317,1.8317,1.8317,1.8317,1.8317,1.8290,1.8312
12000,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7427
13000,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6856
14000,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449
15000,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218
16000,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
