ramSize,amclock_upLimit_1,amclock_upLimit_2,amclock_upLimit_4,amclock_upLimit_6,amclock_upLimit_8,amclock_upLimit_12,amclock_upLimit_16,amclock_upLimit_20,amclock_upLimit_24,amclock_upLimit_28,amclock_upLimit_32
100,27.6258,27.9268,28.7922,29.2411,29.4875,29.7472,29.9441,30.1431,30.2912,30.4886,30.6083
700,14.4706,14.3080,14.1463,14.0530,14.0587,14.1350,13.8988,13.9026,13.9026,13.9026,13.9026
800,13.6782,13.5047,13.3032,13.2317,13.1458,13.1577,13.0243,13.0117,13.0197,13.0197,13.0197
900,12.9735,12.7587,12.6546,12.6389,12.4597,12.4185,12.3885,12.3885,12.3885,12.3885,12.3885
1000,12.2859,12.1666,12.0828,11.9993,11.9092,11.8600,11.8544,11.8544,11.8544,11.8544,11.8544
2000,7.8973,7.8895,7.9122,7.8751,7.8751,7.8751,7.8751,7.8751,7.8751,7.8751,7.8751
3000,5.6024,5.7292,5.7004,5.7119,5.6898,5.6855,5.6855,5.6855,5.6855,5.6855,5.6855
4000,4.3364,4.3498,4.3578,4.3508,4.3508,4.3508,4.3508,4.3508,4.3508,4.3508,4.3508
5000,3.5380,3.5501,3.5840,3.5758,3.5758,3.5758,3.5758,3.5758,3.5758,3.5758,3.5758
6000,3.0244,3.0363,3.0458,3.0398,3.0398,3.0398,3.0398,3.0398,3.0398,3.0398,3.0398
7000,2.6351,2.6309,2.6277,2.6277,2.6277,2.6277,2.6277,2.6277,2.6277,2.6277,2.6277
8000,2.3316,2.3252,2.3290,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306,2.3306
9000,2.1100,2.1104,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067,2.1067
10000,1.9506,1.9469,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463,1.9463
11000,1.8287,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290,1.8290
12000,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441,1.7441
13000,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863,1.6863
14000,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449
15000,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218
16000,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
