ramSize,amclock_upLimit_1,amclock_upLimit_2,amclock_upLimit_4,amclock_upLimit_6,amclock_upLimit_8,amclock_upLimit_12,amclock_upLimit_16,amclock_upLimit_20,amclock_upLimit_24,amclock_upLimit_28,amclock_upLimit_32
100,70.7665,69.3087,67.5002,66.1679,65.2234,64.0811,63.3448,62.7892,62.3899,61.7928,61.5890
200,62.9270,61.3818,59.5363,58.2962,57.5190,56.3866,56.0295,55.9318,55.5348,55.3174,56.0290
300,57.8587,56.3978,54.6261,53.4860,52.8402,51.7569,50.6103,51.0881,50.0817,49.9963,49.9728
400,54.1596,52.7014,50.9622,49.8035,48.9781,48.7429,48.1879,47.8924,47.7512,47.6413,47.6909
500,51.1412,49.6877,47.9920,46.8388,46.1198,46.2156,44.7104,45.1566,45.1538,45.1538,45.1538
600,48.6104,47.2270,45.4800,44.6365,44.0251,42.8892,42.8989,41.7839,41.8760,42.0555,41.4817
700,46.4040,44.9969,43.6709,42.6697,41.9275,41.3235,41.5074,41.4142,41.4138,41.4138,41.4138
800,44.4800,43.1336,41.7091,40.6098,40.1118,39.5876,38.5539,38.5316,38.5787,38.0306,38.0306
900,42.7354,41.3640,39.9871,38.8162,38.5458,38.3197,37.9106,37.8885,37.8869,37.8869,37.8869
1000,41.1655,39.8591,38.2451,37.7195,37.0324,36.6749,36.5229,36.5715,36.5715,36.5715,36.5715
2000,30.0929,29.0456,28.0093,27.4445,27.0066,26.4304,26.6228,26.2681,26.2857,26.2857,26.2857
3000,23.0618,22.0258,21.1368,21.0752,20.8334,20.8522,20.8522,20.8522,20.8522,20.8522,20.8522
4000,17.8279,17.0183,16.2878,16.0318,16.1557,16.0634,16.0634,16.0634,16.0634,16.0634,16.0634
5000,13.6732,13.0762,12.6598,12.5026,12.4233,12.3783,12.3906,12.3906,12.3906,12.3906,12.3906
6000,10.2537,9.8843,9.6307,9.6256,9.6378,9.6379,9.6379,9.6379,9.6379,9.6379,9.6379
7000,7.3659,7.1568,7.0360,7.1571,7.1571,7.1571,7.1571,7.1571,7.1571,7.1571,7.1571
8000,4.8385,4.7747,4.7235,4.7222,4.7320,4.7320,4.7320,4.7320,4.7320,4.7320,4.7320
9000,2.7065,2.7025,2.6973,2.6971,2.6971,2.6971,2.6971,2.6971,2.6971,2.6971,2.6971
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
