ramSize,amclock_Weight_1,amclock_Weight_2,amclock_Weight_3,amclock_Weight_4,amclock_Weight_5,amclock_Weight_6,amclock_Weight_7,amclock_Weight_8,amclock_Weight_9,amclock_Weight_10,amclock_Weight_11,amclock_Weight_12,amclock_Weight_14,amclock_Weight_18,amclock_Weight_24
100,30.7730,30.7787,30.7945,30.7965,30.7932,30.7898,30.7949,30.7934,30.7785,30.7820,30.7935,30.7990,30.8048,30.8055,30.8031
700,14.0885,14.0929,14.0841,14.0927,14.0872,14.1017,14.1006,14.1014,14.1083,14.1035,14.1054,14.1039,14.1314,14.1184,14.1348
800,13.2615,13.2650,13.2752,13.2827,13.2741,13.2668,13.2713,13.2849,13.2746,13.2942,13.2883,13.2972,13.3083,13.3042,13.3197
900,12.5506,12.5560,12.5445,12.5520,12.5632,12.5546,12.5583,12.5629,12.5637,12.5671,12.5671,12.5731,12.5719,12.5936,12.5942
1000,11.9488,11.9421,11.9426,11.9462,11.9488,11.9493,11.9463,11.9573,11.9531,11.9558,11.9624,11.9641,11.9816,11.9802,11.9954
2000,7.7544,7.7853,7.8118,7.8196,7.8399,7.8573,7.8807,7.8936,7.8969,7.9087,7.9293,7.9438,7.9626,7.9972,8.0326
3000,5.6117,5.6306,5.6549,5.6773,5.7043,5.7181,5.7486,5.7573,5.7726,5.7835,5.7979,5.8057,5.8347,5.8817,5.9325
4000,4.3271,4.3625,4.3870,4.4048,4.4206,4.4348,4.4497,4.4595,4.4658,4.4713,4.4792,4.4819,4.4807,4.4947,4.4976
5000,3.5711,3.6069,3.6313,3.6482,3.6519,3.6549,3.6693,3.6739,3.6776,3.6784,3.6803,3.6784,3.6821,3.6926,3.6994
6000,3.0415,3.0611,3.0732,3.0866,3.0984,3.1098,3.1157,3.1182,3.1206,3.1239,3.1253,3.1306,3.1364,3.1425,3.1469
7000,2.6323,2.6363,2.6521,2.6610,2.6709,2.6800,2.6866,2.6900,2.6924,2.6976,2.6987,2.7023,2.7045,2.7080,2.7114
8000,2.3303,2.3306,2.3367,2.3418,2.3514,2.3528,2.3577,2.3617,2.3668,2.3690,2.3736,2.3758,2.3790,2.3827,2.3838
9000,2.1082,2.1067,2.1110,2.1146,2.1198,2.1240,2.1271,2.1275,2.1302,2.1333,2.1334,2.1343,2.1359,2.1367,2.1375
10000,1.9512,1.9463,1.9488,1.9487,1.9540,1.9554,1.9582,1.9595,1.9596,1.9601,1.9615,1.9619,1.9627,1.9626,1.9628
11000,1.8345,1.8290,1.8290,1.8314,1.8330,1.8351,1.8359,1.8364,1.8366,1.8370,1.8378,1.8381,1.8385,1.8386,1.8384
12000,1.7439,1.7441,1.7422,1.7431,1.7435,1.7440,1.7456,1.7461,1.7460,1.7460,1.7460,1.7462,1.7462,1.7462,1.7462
13000,1.6850,1.6863,1.6862,1.6866,1.6866,1.6866,1.6866,1.6866,1.6866,1.6866,1.6866,1.6866,1.6866,1.6866,1.6866
14000,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449
15000,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218
16000,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
