ramSize,amclock_Weight_1,amclock_Weight_2,amclock_Weight_3,amclock_Weight_4,amclock_Weight_5,amclock_Weight_6,amclock_Weight_7,amclock_Weight_8,amclock_Weight_9,amclock_Weight_10,amclock_Weight_11,amclock_Weight_12,amclock_Weight_14,amclock_Weight_18,amclock_Weight_24
100,60.8008,60.7980,60.7978,60.7974,60.7841,60.7847,60.7842,60.7843,60.7973,60.7974,60.7971,60.7838,60.7840,60.7907,60.7829
200,53.4823,53.4828,53.4766,53.4739,53.4749,53.4750,53.4760,53.4753,53.4768,53.4805,53.4816,53.4798,53.4775,53.4790,53.4807
300,48.9386,48.9415,48.9263,48.9246,48.9180,48.9183,48.9174,48.9169,48.9153,48.9173,48.9159,48.9192,48.9149,48.9238,48.9246
400,45.6077,45.6120,45.6056,45.5994,45.5868,45.5837,45.5857,45.5881,45.5856,45.5847,45.5861,45.5845,45.5853,45.5869,45.5822
500,42.9918,42.9847,42.9707,42.9662,42.9652,42.9651,42.9616,42.9542,42.9535,42.9507,42.9422,42.9505,42.9516,42.9453,42.9487
600,40.8221,40.8142,40.8109,40.7894,40.7955,40.7867,40.7897,40.7872,40.7862,40.7775,40.7779,40.7884,40.7812,40.7816,40.7791
700,38.9261,38.9037,38.9018,38.8930,38.8748,38.8826,38.8961,38.8890,38.8878,38.8835,38.8891,38.8805,38.8846,38.9002,38.9031
800,37.2833,37.2672,37.2731,37.2602,37.2611,37.2580,37.2521,37.2497,37.2537,37.2541,37.2523,37.2477,37.2561,37.2574,37.2639
900,35.8299,35.8165,35.8109,35.8079,35.8081,35.8028,35.7961,35.8039,35.7997,35.7973,35.8069,35.7969,35.8046,35.8081,35.8071
1000,34.5005,34.4980,34.4997,34.4937,34.4776,34.4752,34.4624,34.4608,34.4667,34.4689,34.4719,34.4685,34.4682,34.4743,34.4724
2000,25.3690,25.3507,25.3389,25.3329,25.3280,25.3311,25.3246,25.3297,25.3309,25.3381,25.3439,25.3443,25.3453,25.3551,25.3654
3000,19.8523,19.8210,19.8047,19.7916,19.7890,19.7917,19.7943,19.8020,19.7951,19.7957,19.7895,19.7962,19.8041,19.8156,19.8232
4000,15.7490,15.7190,15.6984,15.6968,15.6752,15.6742,15.6705,15.6686,15.6766,15.6852,15.6929,15.7019,15.7109,15.7306,15.7628
5000,12.4013,12.3656,12.3462,12.3394,12.3390,12.3315,12.3406,12.3532,12.3557,12.3507,12.3540,12.3534,12.3596,12.3670,12.3974
6000,9.5715,9.5302,9.5067,9.4977,9.4910,9.4863,9.4730,9.4684,9.4717,9.4689,9.4705,9.4706,9.4860,9.5242,9.5496
7000,7.0109,6.9827,6.9603,6.9514,6.9497,6.9480,6.9592,6.9633,6.9715,6.9782,6.9828,6.9834,6.9879,7.0038,7.0308
8000,4.7637,4.7252,4.7071,4.7020,4.6962,4.6962,4.6988,4.7022,4.6998,4.7068,4.7104,4.7177,4.7306,4.7395,4.7595
9000,2.7329,2.6991,2.6916,2.6919,2.6904,2.6884,2.6921,2.6927,2.6875,2.6818,2.6893,2.6854,2.6841,2.6964,2.7198
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
