ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,61.7684,62.4202,0.0000,62.3534,0.0000,0.0000,73.8311,74.9891,72.9482,71.4939,0.0000,77.4755
200,54.3120,53.8684,0.0000,55.4438,0.0000,0.0000,66.0753,67.2661,65.1531,63.6965,0.0000,70.1230
300,49.6815,49.1333,0.0000,51.2440,0.0000,0.0000,61.1268,62.3324,60.1563,58.6973,0.0000,65.4217
400,46.2954,45.7752,0.0000,48.1666,0.0000,0.0000,57.3957,58.5941,56.4000,54.9618,0.0000,61.8364
500,43.6341,43.1240,0.0000,45.7001,0.0000,0.0000,54.3869,55.5921,53.3784,51.9893,0.0000,58.9019
600,41.3873,40.9415,0.0000,43.6471,0.0000,0.0000,51.8449,53.0244,50.8200,49.4292,0.0000,56.4718
700,39.4487,39.0391,0.0000,41.9058,0.0000,0.0000,49.6235,50.8429,48.5986,47.2380,0.0000,54.1857
800,37.7661,37.3582,0.0000,40.3740,0.0000,0.0000,47.6749,48.8741,46.6411,45.3022,0.0000,52.3243
900,36.2585,35.9221,0.0000,38.9678,0.0000,0.0000,45.9120,47.1037,44.8846,43.5893,0.0000,50.5387
1000,34.9268,34.5964,0.0000,37.7060,0.0000,0.0000,44.3045,45.4824,43.2714,42.0019,0.0000,48.9555
2000,25.6109,25.4024,0.0000,29.0927,0.0000,0.0000,32.9349,33.9581,31.9151,30.8792,0.0000,37.3792
3000,19.9204,19.8441,0.0000,23.7373,0.0000,0.0000,25.4912,26.4026,24.5331,23.7378,0.0000,29.5755
4000,15.7399,15.7237,0.0000,18.7477,0.0000,0.0000,19.8853,20.6187,18.9900,18.4152,0.0000,23.6161
5000,12.3548,12.3608,0.0000,15.2742,0.0000,0.0000,15.3438,15.8934,14.5586,14.1556,0.0000,18.5994
6000,9.5255,9.5298,0.0000,11.4586,0.0000,0.0000,11.5026,11.9221,10.8688,10.6293,0.0000,14.2973
7000,6.9832,6.9827,0.0000,8.1979,0.0000,0.0000,8.2213,8.5227,7.7456,7.6256,0.0000,10.3837
8000,4.7252,4.7252,0.0000,5.3724,0.0000,0.0000,5.3914,5.5370,5.0746,5.0354,0.0000,6.9427
9000,2.6991,2.6991,0.0000,2.9220,0.0000,0.0000,2.9263,3.0063,2.7783,2.8021,0.0000,3.7445
10000,1.0000,1.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000
