ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,64.6593,62.5292,0.0000,62.3732,65.5711,63.8871,73.8321,74.9900,73.1294,71.7136,75.0092,77.4521
200,57.4445,56.0330,0.0000,55.4768,58.0626,56.8818,66.0772,67.2677,65.3867,63.9398,67.3114,70.1806
300,52.9956,49.8841,0.0000,51.2894,53.3522,52.4902,61.1300,62.3340,60.4340,59.0558,62.4114,65.4431
400,49.6414,47.7481,0.0000,48.2216,49.9670,49.3060,57.4001,58.5973,56.7353,55.3658,58.7032,61.8417
500,47.0565,43.8880,0.0000,45.7624,47.2350,46.7573,54.3921,55.5962,53.7402,52.4366,55.7163,58.8878
600,44.8813,41.7184,0.0000,43.7155,45.0148,44.5833,51.8521,53.0287,51.2064,49.8990,53.1679,56.4472
700,43.0079,42.0132,0.0000,41.9863,43.0531,42.7313,49.6326,50.8507,48.9972,47.7304,50.9784,54.2706
800,41.3258,38.1758,0.0000,40.4586,41.3343,41.0819,47.6858,48.8811,47.0372,45.7993,49.0039,52.3368
900,39.8090,36.7223,0.0000,39.0564,39.7988,39.5967,45.9239,47.1127,45.2772,44.0841,47.2377,50.5613
1000,38.4449,35.4380,0.0000,37.7965,38.4512,38.2418,44.3171,45.4911,43.6996,42.5247,45.6161,48.9957
2000,28.7927,26.4249,0.0000,29.1993,28.7751,28.6933,32.9593,33.9728,32.3966,31.4800,34.1508,37.3924
3000,22.5061,20.8997,0.0000,23.8148,22.6659,22.5233,25.5165,26.4113,25.0174,24.3494,26.6054,29.7216
4000,17.7426,16.6553,0.0000,18.8146,17.9647,17.8154,19.9056,20.6221,19.4505,18.9418,20.8725,23.6714
5000,13.8089,13.7547,0.0000,15.3062,14.1394,13.9090,15.3414,15.8707,14.9340,14.6111,16.0979,18.6694
6000,10.4143,10.1966,0.0000,11.4416,10.8101,10.5694,11.4636,11.8615,11.1301,10.9573,12.0922,14.2669
7000,7.4399,7.4384,0.0000,8.1200,7.8650,7.6183,8.1318,8.4070,7.8874,7.8055,8.5788,10.3658
8000,4.8209,4.9548,0.0000,5.2150,5.2356,4.9704,5.2246,5.3464,5.0441,5.0314,5.4501,6.7417
9000,2.4730,2.4730,0.0000,2.6367,2.7833,2.5669,2.6388,2.7027,2.5567,2.6008,2.7597,3.4653
10000,0.5022,0.5022,0.0000,0.5016,0.5019,0.5020,0.5016,0.5016,0.5015,0.5020,0.5016,0.5024
11000,0.5001,0.5001,0.0000,0.5001,0.5001,0.5001,0.5001,0.5001,0.5001,0.5001,0.5001,0.5001
