ramSize,amclock_DW,amclock_Final,amclock_WA15,amclock_WA,amclock_WA25,amclock_WA3,amclock_WA35,amclock_WA4,arc,WATT,lru_k2_z-1,lru,clock,clocksweep,hyperbolic20
100,63.2348,61.7684,61.6790,61.5746,61.5186,61.4142,61.3549,61.3098,62.3534,65.4573,63.8790,73.8311,74.9891,72.9482,71.4939
200,55.1760,54.3120,54.2409,54.1480,54.0726,54.0221,53.9470,53.9046,55.4438,57.9042,56.8642,66.0753,67.2661,65.1531,63.6965
300,51.1171,49.6815,49.6044,49.5428,49.4880,49.4200,49.3616,49.3050,51.2440,53.2546,52.4653,61.1268,62.3324,60.1563,58.6973
400,48.4037,46.2954,46.2448,46.2045,46.1356,46.0988,46.0819,46.0408,48.1666,49.8684,49.2715,57.3957,58.5941,56.4000,54.9618
500,45.3098,43.6341,43.5703,43.5140,43.4640,43.4272,43.3818,43.3528,45.7001,47.1393,46.7173,54.3869,55.5921,53.3784,51.9893
600,43.5686,41.3873,41.3548,41.3117,41.2517,41.2173,41.1809,41.1460,43.6471,44.8725,44.5371,51.8449,53.0244,50.8200,49.4292
700,40.1470,39.4487,39.3910,39.3468,39.3106,39.2816,39.2698,39.2371,41.9058,42.9010,42.6761,49.6235,50.8429,48.5986,47.2380
800,38.4138,37.7661,37.7171,37.6729,37.6515,37.6327,37.6013,37.5907,40.3740,41.1693,41.0202,47.6749,48.8741,46.6411,45.3022
900,37.0838,36.2585,36.2234,36.1819,36.1364,36.1127,36.0989,36.0809,38.9678,39.6167,39.5300,45.9120,47.1037,44.8846,43.5893
1000,37.1342,34.9268,34.8991,34.8633,34.8242,34.7795,34.7504,34.7395,37.7060,38.2165,38.1685,44.3045,45.4824,43.2714,42.0019
2000,27.5249,25.6109,25.5685,25.5535,25.5474,25.5504,25.5614,25.5678,29.0927,28.3672,28.5730,32.9349,33.9581,31.9151,30.8792
3000,20.7271,19.9204,19.9093,19.9041,19.9116,19.9334,19.9420,19.9686,23.7373,22.1429,22.3861,25.4912,26.4026,24.5331,23.7378
4000,16.0634,15.7399,15.7296,15.7405,15.7637,15.7712,15.7830,15.7910,18.7477,17.4615,17.6873,19.8853,20.6187,18.9900,18.4152
5000,12.3906,12.3548,12.3591,12.3638,12.3713,12.3842,12.4007,12.4093,15.2742,13.6605,13.8068,15.3438,15.8934,14.5586,14.1556
6000,9.6379,9.5255,9.5273,9.5335,9.5351,9.5459,9.5464,9.5614,11.4586,10.4053,10.5050,11.5026,11.9221,10.8688,10.6293
7000,7.1773,6.9832,6.9764,6.9953,7.0044,7.0102,7.0226,7.0277,8.1979,7.6249,7.6185,8.2213,8.5227,7.7456,7.6256
8000,4.7320,4.7252,4.7239,4.7231,4.7239,4.7214,4.7268,4.7405,5.3724,5.1202,5.0681,5.3914,5.5370,5.0746,5.0354
9000,2.6971,2.6991,2.6939,2.6991,2.7014,2.7049,2.7069,2.7089,2.9220,2.9480,2.8190,2.9263,3.0063,2.7783,2.8021
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
