ramSize,amclock_DW_HR_1,amclock_DW_HR_2,amclock_DW_HR_3,amclock_DW_HR_4,amclock_DW_HR_5,amclock_DW_HR_6,amclock_DW_HR_7,amclock_DW_HR_8,amclock_DW_HR_9,amclock_DW_HR_10,EACLOCK,ARC,WATT,LRU-2
100,66.2331,64.1863,62.4976,61.7879,62.3194,63.6467,63.6467,63.6467,63.6467,63.6467,64.0497,62.4112,65.5536,63.8935
200,57.6708,55.4117,56.2712,56.4739,56.4739,56.4739,56.4739,56.4739,56.4739,56.4739,56.7784,55.4422,58.0320,56.8392
300,52.2743,50.0675,49.6081,52.1269,52.1269,52.1269,52.1269,52.1269,52.1269,52.1269,52.3299,51.2934,53.3033,52.4353
400,48.3295,46.3051,46.3155,46.3155,46.3155,48.8428,48.8428,48.8428,48.8428,48.8428,49.0049,48.2247,49.9017,49.2718
500,45.0285,43.6938,43.6938,43.6938,43.6938,46.3006,46.3006,46.3006,46.3006,46.3006,46.4064,45.7565,47.1706,46.7269
600,42.6401,41.3048,41.5542,41.5542,41.5542,41.5542,44.1928,44.1928,44.1928,44.1928,44.2607,43.7127,44.9501,44.5661
700,40.4874,39.6706,39.6706,39.6706,39.6706,42.3363,42.3363,42.3363,42.3363,42.3363,42.4008,41.9764,42.9714,42.7174
800,38.5614,37.7718,38.0048,40.7022,40.7022,40.7022,40.7022,40.7022,40.7022,40.7022,40.7147,40.4495,41.2515,41.0603
900,36.8481,36.5579,36.5579,36.5579,36.5579,39.2587,39.2587,39.2587,39.2587,39.2587,39.2371,39.0339,39.7280,39.5723
1000,35.3042,35.0333,35.2356,35.2356,35.2356,37.9574,37.9574,37.9574,37.9574,37.9574,37.9378,37.7868,38.3972,38.2081
2000,26.2687,26.2687,26.2687,26.2687,26.2687,26.2687,26.2687,26.2687,26.2687,26.2687,28.5812,29.1955,28.7173,28.6807
3000,20.6708,20.6708,20.8203,20.8203,22.7530,22.7530,22.7530,22.7530,22.7530,22.7530,22.5251,23.8152,22.6364,22.5485
4000,16.6513,16.6513,16.6513,16.6513,16.6513,16.6513,16.6513,18.1663,18.1663,18.1663,17.9775,18.8438,17.9343,17.8496
5000,13.2307,13.2307,13.2307,13.2307,13.2307,13.2307,14.2654,14.2654,14.2654,14.2654,14.1717,15.3354,14.1570,14.0002
6000,10.2333,10.2333,10.2333,10.2333,10.2333,10.2333,10.2333,10.2333,10.2333,10.8603,10.8424,11.5435,10.8619,10.6753
7000,7.5505,7.5505,7.5505,7.5505,7.5505,7.5505,7.5505,7.5505,7.8520,7.8520,7.8496,8.2802,7.9895,7.7849
8000,5.0450,5.1172,5.1172,5.2108,5.2108,5.2108,5.2108,5.2108,5.2108,5.2108,5.2108,5.4519,5.4200,5.1960
9000,2.8788,2.8795,2.8795,2.8795,2.8795,2.8795,2.8795,2.8795,2.8795,2.8795,2.8795,2.9762,3.1227,2.8886
10000,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0014,1.0012,1.0014
11000,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001
