ramSize,amclock_Final,amclock_WA,amclock_DW,arc,WATT,lru_k2_z-1,lru,clock,clocksweep,hyperbolic20,lean30_2,random
100,69702,68489,72678,74148,72683,77520,74810,75533,72313,72048,76502,78427
700,42160,42752,41421,47400,43122,48192,54085,55804,48288,47558,55549,58544
800,40611,41255,39806,45217,41637,46361,51843,53685,46559,45735,53460,56818
900,39271,39875,38861,43543,40309,44896,49559,51699,45050,44234,51434,55234
1000,38078,38729,37512,42002,38869,43708,47720,49833,43683,42850,49656,53439
2000,29393,28948,29174,31701,29686,34801,35542,36964,33783,33115,37317,42582
3000,23444,23086,23445,25961,24083,28817,28019,29182,26899,26547,29917,35329
4000,20027,19609,20026,22660,20290,24507,23664,24544,22415,22307,24983,30427
5000,17500,17184,17500,20075,17972,21219,20781,21628,19386,19289,21531,26410
6000,15807,15566,15807,17870,16322,18603,18647,19304,17090,17061,19314,23368
7000,14586,14432,14586,16033,15185,16656,16885,17627,15469,15480,17535,21026
8000,13674,13581,13674,14697,14348,15080,15438,16114,14278,14295,16026,19016
9000,13014,12967,13014,13718,13638,13821,14393,14961,13439,13474,14931,17342
10000,12540,12527,12540,12977,13040,12950,13565,14113,12809,12887,14095,15937
11000,12256,12241,12256,12479,12583,12393,12889,13440,12393,12424,13303,14716
12000,12072,12043,12072,12131,12287,12094,12410,12880,12130,12144,12717,13798
13000,11932,11926,11932,11940,12037,11931,12083,12507,11948,11985,12274,13021
14000,11826,11826,11826,11826,11885,11826,11880,12194,11826,11840,11986,12358
15000,11765,11765,11765,11765,11764,11765,11775,11924,11765,11773,11802,11930
16000,11741,11741,11741,11741,11741,11741,11741,11742,11741,11740,11742,11744
17000,11740,11740,11740,11740,11740,11740,11740,11740,11740,11740,11740,11740
