ramSize,amclock_Final,amclock_WA,amclock_DW,arc,WATT,lru_k2_z-1,lru,clock,clocksweep,hyperbolic20,lean30_2,random
100,62847,62451,62234,67656,68708,71746,85601,88101,82054,79262,88266,93241
200,55390,55054,54342,61339,61328,65141,78829,81434,74989,72225,81701,88918
300,50823,50502,49908,57633,57022,61074,74610,77157,70527,67699,77528,85607
400,47526,47234,46600,55038,53903,58115,71355,74066,67155,64263,74260,83032
500,44989,44678,44159,52933,51295,55781,68654,71394,64327,61499,71759,80795
600,42890,42670,42207,51156,49220,53781,66327,69157,61951,59121,69569,79245
700,41145,40863,40411,49777,47427,52098,64372,67206,59986,57084,67577,77281
800,39574,39342,38876,48554,45896,50571,62618,65448,58107,55282,65849,75922
900,38236,37990,37617,47481,44519,49213,60991,63791,56530,53670,64323,74558
1000,37048,36808,36433,46482,43197,47973,59532,62380,54989,52245,62827,73217
2000,28628,28322,28215,40106,34570,39312,49235,52102,44438,41959,52630,63544
3000,23806,23576,23536,36344,29074,33645,42194,44917,37446,35184,45463,56665
4000,20517,20232,20348,33571,25043,29173,36595,39202,31926,30005,39639,50843
5000,18023,17692,17904,31528,21823,25430,31679,34011,27195,25698,34598,45634
6000,16013,15687,15970,27092,18920,21990,27198,29240,23135,21986,29768,40519
7000,14201,13825,14201,22820,16452,18779,22899,24635,19385,18699,24968,34652
8000,12529,12188,12529,18444,14097,15672,18512,19872,15847,15577,20119,28496
9000,10951,10738,10951,13940,11929,12494,13997,14774,12466,12576,14998,20388
10000,9338,9338,9338,9338,9338,9338,9338,9338,9338,9338,9338,9338
