ramSize,amclock_DW,amclock_Final,amclock_WA,arc,WATT,lru_k2_z-1,lru,clock,clocksweep,hyperbolic20
100,65073,62847,62451,67656,68708,71746,85601,88101,82054,79262
200,56638,55390,55054,61339,61328,65141,78829,81434,74989,72225
300,53187,50823,50502,57633,57022,61074,74610,77157,70527,67699
400,51044,47526,47234,55038,53903,58115,71355,74066,67155,64263
500,47765,44989,44678,52933,51295,55781,68654,71394,64327,61499
600,46808,42890,42670,51156,49220,53781,66327,69157,61951,59121
700,42366,41145,40863,49777,47427,52098,64372,67206,59986,57084
800,40723,39574,39342,48554,45896,50571,62618,65448,58107,55282
900,39818,38236,37990,47481,44519,49213,60991,63791,56530,53670
1000,41196,37048,36808,46482,43197,47973,59532,62380,54989,52245
2000,32929,28628,28322,40106,34570,39312,49235,52102,44438,41959
3000,26118,23806,23576,36344,29074,33645,42194,44917,37446,35184
4000,21718,20517,20232,33571,25043,29173,36595,39202,31926,30005
5000,18348,18023,17692,31528,21823,25430,31679,34011,27195,25698
6000,16764,16013,15687,27092,18920,21990,27198,29240,23135,21986
7000,15514,14201,13825,22820,16452,18779,22899,24635,19385,18699
8000,12603,12529,12188,18444,14097,15672,18512,19872,15847,15577
9000,10954,10951,10738,13940,11929,12494,13997,14774,12466,12576
10000,9338,9338,9338,9338,9338,9338,9338,9338,9338,9338
