ramSize,amclock_DW,amclock_Final,amclock_WA15,amclock_WA,amclock_WA25,amclock_WA3,amclock_WA35,amclock_WA4,arc,WATT,lru_k2_z-1,lru,clock,clocksweep,hyperbolic20
100,65073,62847,62646,62451,62358,62167,62064,62004,67656,68708,71746,85601,88101,82054,79262
200,56638,55390,55226,55054,54907,54791,54637,54532,61339,61328,65141,78829,81434,74989,72225
300,53187,50823,50616,50502,50370,50237,50122,50002,57633,57022,61074,74610,77157,70527,67699
400,51044,47526,47366,47234,47106,47029,46972,46863,55038,53903,58115,71355,74066,67155,64263
500,47765,44989,44795,44678,44579,44495,44387,44303,52933,51295,55781,68654,71394,64327,61499
600,46808,42890,42810,42670,42551,42465,42376,42274,51156,49220,53781,66327,69157,61951,59121
700,42366,41145,40978,40863,40778,40671,40595,40492,49777,47427,52098,64372,67206,59986,57084
800,40723,39574,39451,39342,39264,39177,39092,39028,48554,45896,50571,62618,65448,58107,55282
900,39818,38236,38136,37990,37864,37791,37717,37665,47481,44519,49213,60991,63791,56530,53670
1000,41196,37048,36948,36808,36701,36593,36473,36403,46482,43197,47973,59532,62380,54989,52245
2000,32929,28628,28441,28322,28245,28140,28082,28048,40106,34570,39312,49235,52102,44438,41959
3000,26118,23806,23679,23576,23489,23452,23408,23385,36344,29074,33645,42194,44917,37446,35184
4000,21718,20517,20344,20232,20173,20093,20047,19983,33571,25043,29173,36595,39202,31926,30005
5000,18348,18023,17837,17692,17615,17529,17503,17457,31528,21823,25430,31679,34011,27195,25698
6000,16764,16013,15833,15687,15600,15501,15413,15357,27092,18920,21990,27198,29240,23135,21986
7000,15514,14201,13979,13825,13729,13640,13583,13508,22820,16452,18779,22899,24635,19385,18699
8000,12603,12529,12346,12188,12104,12024,11977,11923,18444,14097,15672,18512,19872,15847,15577
9000,10954,10951,10834,10738,10676,10601,10571,10534,13940,11929,12494,13997,14774,12466,12576
10000,9338,9338,9338,9338,9338,9338,9338,9338,9338,9338,9338,9338,9338,9338,9338
