ramSize,amclock_DW,amclock_Final,amclock_WA15,amclock_WA,amclock_WA25,amclock_WA3,amclock_WA35,amclock_WA4,arc,WATT,lru_k2_z-1,lru,clock,clocksweep,hyperbolic20
100,290520,306545,312413,317310,321874,326139,330311,333639,290020,291087,351005,285763,289236,280095,277583
700,134043,138404,142361,145623,148848,151444,153529,155252,140163,135253,164232,153293,158592,147229,145850
800,126097,130753,134037,137036,140305,142807,145035,146811,131336,128210,153975,143881,148453,139508,138216
900,121271,124181,127231,129831,132422,134818,136924,138762,123948,121577,145371,135379,140212,132219,130853
1000,115749,118581,121547,124020,126196,128289,129905,131621,117080,115407,137294,128009,132621,125553,124144
2000,78599,78417,80076,81360,82483,83434,84356,85216,71304,78366,84845,79198,81864,80287,79169
3000,56855,56398,57273,58229,58926,59731,60234,60726,49778,58099,62068,52200,54180,55192,55424
4000,43506,43623,43867,44289,44670,45178,45545,45927,41053,44892,50057,40145,41437,43105,43674
5000,35758,36069,36086,36269,36398,36546,36665,36791,34588,36474,41414,33561,34828,35863,36305
6000,30398,30611,30655,30785,30830,30936,31064,31161,29687,30714,34760,29063,30203,30578,30887
7000,26280,26363,26417,26506,26609,26683,26789,26862,25735,26438,29876,25644,26834,26643,26941
8000,23306,23306,23325,23379,23403,23467,23514,23580,22753,23488,26004,22909,24091,23595,23914
9000,21067,21067,21112,21146,21167,21195,21231,21261,20666,21264,23005,20970,22002,21386,21618
10000,19463,19463,19487,19520,19550,19560,19565,19575,19097,19585,20689,19466,20385,19682,19831
11000,18290,18290,18320,18312,18309,18322,18318,18318,18082,18485,19052,18277,19137,18423,18534
12000,17441,17441,17431,17427,17426,17426,17426,17426,17316,17626,17828,17400,18130,17481,17588
13000,16863,16863,16856,16856,16856,16856,16856,16856,16833,16992,16933,16807,17490,16858,16948
14000,16449,16449,16449,16449,16449,16449,16449,16449,16449,16524,16449,16420,16934,16449,16480
15000,16218,16218,16218,16218,16218,16218,16218,16218,16218,16228,16218,16208,16473,16218,16230
16000,16129,16129,16129,16129,16129,16129,16129,16129,16129,16129,16129,16129,16147,16129,16129
17000,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128,16128
