ramSize,amclock_DW,amclock_Final,amclock_WA15,amclock_WA,amclock_WA25,amclock_WA3,amclock_WA35,amclock_WA4,arc,WATT,lru_k2_z-1,lru,clock,clocksweep,hyperbolic20
100,632348,617684,616790,615746,615186,614142,613549,613098,623534,654573,638790,738311,749891,729482,714939
200,551760,543120,542409,541480,540726,540221,539470,539046,554438,579042,568642,660753,672661,651531,636965
300,511171,496815,496044,495428,494880,494200,493616,493050,512440,532546,524653,611268,623324,601563,586973
400,484037,462954,462448,462045,461356,460988,460819,460408,481666,498684,492715,573957,585941,564000,549618
500,453098,436341,435703,435140,434640,434272,433818,433528,457001,471393,467173,543869,555921,533784,519893
600,435686,413873,413548,413117,412517,412173,411809,411460,436471,448725,445371,518449,530244,508200,494292
700,401470,394487,393910,393468,393106,392816,392698,392371,419058,429010,426761,496235,508429,485986,472380
800,384138,377661,377171,376729,376515,376327,376013,375907,403740,411693,410202,476749,488741,466411,453022
900,370838,362585,362234,361819,361364,361127,360989,360809,389678,396167,395300,459120,471037,448846,435893
1000,371342,349268,348991,348633,348242,347795,347504,347395,377060,382165,381685,443045,454824,432714,420019
2000,275249,256109,255685,255535,255474,255504,255614,255678,290927,283672,285730,329349,339581,319151,308792
3000,207271,199204,199093,199041,199116,199334,199420,199686,237373,221429,223861,254912,264026,245331,237378
4000,160634,157399,157296,157405,157637,157712,157830,157910,187477,174615,176873,198853,206187,189900,184152
5000,123906,123548,123591,123638,123713,123842,124007,124093,152742,136605,138068,153438,158934,145586,141556
6000,96379,95255,95273,95335,95351,95459,95464,95614,114586,104053,105050,115026,119221,108688,106293
7000,71773,69832,69764,69953,70044,70102,70226,70277,81979,76249,76185,82213,85227,77456,76256
8000,47320,47252,47239,47231,47239,47214,47268,47405,53724,51202,50681,53914,55370,50746,50354
9000,26971,26991,26939,26991,27014,27049,27069,27089,29220,29480,28190,29263,30063,27783,28021
10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
