ramSize,amclock_DW,amclock_Final,amclock_WA15,amclock_WA,amclock_WA25,amclock_WA3,amclock_WA35,amclock_WA4,arc,WATT,lru_k2_z-1,lru,clock,clocksweep,hyperbolic20
100,632348,617684,617684,617684,617684,617684,617684,617684,623534,655634,638790,738311,749891,729482,714939
200,551760,543120,543120,543120,543120,543120,543120,543120,554438,579693,568642,660753,672661,651531,636965
300,511171,496815,496815,496815,496815,496815,496815,496815,512440,533104,524653,611268,623324,601563,586973
400,484037,462954,462954,462954,462954,462954,462954,462954,481666,498488,492715,573957,585941,564000,549618
500,453098,436341,436341,436341,436341,436341,436341,436341,457001,471016,467173,543869,555921,533784,519893
600,435686,413873,413873,413873,413873,413873,413873,413873,436471,448422,445371,518449,530244,508200,494292
700,401470,394487,394487,394487,394487,394487,394487,394487,419058,428590,426761,496235,508429,485986,472380
800,384138,377661,377661,377661,377661,377661,377661,377661,403740,411369,410202,476749,488741,466411,453022
900,370838,362585,362585,362585,362585,362585,362585,362585,389678,396079,395300,459120,471037,448846,435893
1000,371342,349268,349268,349268,349268,349268,349268,349268,377060,382076,381685,443045,454824,432714,420019
2000,275249,256109,256109,256109,256109,256109,256109,256109,290927,284388,285730,329349,339581,319151,308792
3000,207271,199204,199204,199204,199204,199204,199204,199204,237373,221788,223861,254912,264026,245331,237378
4000,160634,157399,157399,157399,157399,157399,157399,157399,187477,175127,176873,198853,206187,189900,184152
5000,123906,123548,123548,123548,123548,123548,123548,123548,152742,137016,138068,153438,158934,145586,141556
6000,96379,95255,95255,95255,95255,95255,95255,95255,114586,104532,105050,115026,119221,108688,106293
7000,71773,69832,69832,69832,69832,69832,69832,69832,81979,76554,76185,82213,85227,77456,76256
8000,47320,47252,47252,47252,47252,47252,47252,47252,53724,51469,50681,53914,55370,50746,50354
9000,26971,26991,26991,26991,26991,26991,26991,26991,29220,29571,28190,29263,30063,27783,28021
10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
