ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,LRU-2,lru,2Q,S3fifo,LIRS,W-TinyLFU,TinyLFU_3,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,66.1426,61.8523,59.7407,59.2911,63.2575,90.7150,70.9767,60.6104,58.8766,61.0136,57.2049,57.2105,72.1092,70.0987,68.7231,72.1862,74.9295
800,42.7385,42.3019,42.1222,42.2755,44.9935,43.3548,51.4783,43.5798,41.9026,43.7584,40.4724,40.5059,52.5333,50.6256,49.3898,52.6367,55.6130
900,40.9936,42.2220,41.1737,41.3411,43.9490,71.2738,50.3318,42.6131,40.9816,42.7978,39.5311,39.6167,51.3868,49.4969,48.2751,51.4708,54.4598
1000,40.4833,40.6764,40.3080,40.4989,43.0094,69.7273,49.3160,41.7511,40.1386,41.9299,38.6951,38.8012,50.3584,48.4726,47.2633,50.4169,53.4702
2000,34.4222,34.5099,34.6568,34.9575,36.9844,56.8466,42.5761,36.1712,34.6645,36.1897,33.5094,33.6025,43.5622,41.7711,40.6458,43.6424,46.6333
3000,31.1906,31.3231,31.4213,31.7439,33.4542,46.7702,38.6021,32.9415,31.4843,32.8501,30.5359,30.7046,39.5731,37.7984,36.7564,39.6368,42.5445
4000,28.9829,28.9931,29.1856,29.4809,31.0109,38.1436,35.7473,30.6554,29.2699,30.4524,28.5886,28.7562,36.6838,34.9754,33.9760,36.7676,39.5632
5000,27.2697,27.2645,27.4427,27.7654,29.1464,30.4946,33.5155,28.9237,27.5711,28.6080,27.0102,27.2174,34.4332,32.7744,31.8103,34.5262,37.3006
6000,25.8974,25.8938,26.0748,26.3773,27.5155,23.5337,31.6819,27.5356,26.2246,27.0940,25.8607,26.0676,32.6096,30.9558,30.0389,32.6650,35.3862
7000,24.7432,24.7998,24.9176,25.2013,26.2257,17.1777,30.1148,26.3698,25.0943,25.8331,24.8039,25.0810,30.9931,29.4156,28.5158,31.0656,33.8172
8000,23.7604,23.7612,23.9259,24.1621,25.1618,11.2676,28.7606,25.3508,24.1363,24.7354,23.9754,24.3077,29.6459,28.0716,27.2276,29.6864,32.3514
9000,22.8935,22.8924,23.0360,23.2452,24.1704,5.8247,27.5673,24.4658,23.2966,23.7618,23.2185,23.5419,28.4288,26.8924,26.0737,28.5011,31.1105
10000,22.1118,22.1086,22.2645,22.4547,23.2759,1.0000,26.4740,23.6821,22.5471,22.8899,22.6003,22.8641,27.3349,25.8262,25.0469,27.3708,29.9713
20000,16.9759,16.9748,17.0818,17.2840,17.5877,1.0000,19.3672,18.7190,17.9507,17.2267,18.7940,18.9034,20.0868,18.8546,18.3421,20.0519,22.2684
30000,13.9157,13.9151,13.9805,14.2383,14.2814,1.0000,15.2129,16.0723,15.5752,13.9819,16.6470,16.8590,15.8102,14.8322,14.5510,15.7955,17.5844
40000,11.7699,11.7699,11.8004,11.9021,12.0301,1.0000,12.4468,14.4142,14.1557,11.7672,15.1832,15.3633,12.9590,12.1872,12.0584,12.8495,14.2434
50000,10.1917,10.1917,10.2046,10.2467,10.3403,1.0000,10.5163,13.4244,13.3383,10.2269,13.9981,14.1025,10.9624,10.3611,10.3322,10.7847,11.8055
60000,9.0886,9.0886,9.0886,9.0917,9.1467,1.0000,9.1996,12.9059,13.0155,9.0970,12.9632,13.0571,9.5514,9.1201,9.1280,9.3273,9.9458
70000,8.3644,8.3644,8.3644,8.3644,8.3834,1.0000,8.3856,12.5787,12.8630,8.3732,12.0785,12.1510,8.6594,8.3644,8.3676,8.4237,8.6792
80000,8.0724,8.0724,8.0724,8.0724,8.0719,1.0000,8.0724,12.3177,12.7311,8.0727,11.2774,11.3182,8.0868,8.0724,8.0729,8.0725,8.0743
90000,8.0711,8.0711,8.0711,8.0711,8.0711,1.0000,8.0711,12.0998,12.6018,8.0711,10.6114,10.6299,8.0711,8.0711,8.0711,8.0711,8.0711
100000,8.0711,8.0711,8.0711,8.0711,8.0711,1.0000,8.0711,11.8984,12.4654,8.0711,9.9784,9.9694,8.0711,8.0711,8.0711,8.0711,8.0711
